source,source_param,source_name,source_unit,variable,factor,offset,statistic,interval,equivalence,caveat
usgs,00060,Discharge,ft3/s,discharge,1,0,,,identical,
usgs,00061,Discharge instantaneous,ft3/s,discharge,1,0,instantaneous,,identical,
usgs,00065,Gage height,ft,stage,1,0,,,identical,Local gauge datum
usgs,00054,Reservoir storage,acre-ft,reservoir_storage,1,0,,,equivalent_method,USGS-published capacity table
usgs,00062,Elevation of reservoir water surface above datum,ft,reservoir_elevation,1,0,,,equivalent_method,Datum per site
usgs,62614,Lake or reservoir water surface elevation above NGVD 1929,ft,reservoir_elevation,1,0,,,identical,NGVD29
usgs,62615,Lake or reservoir water surface elevation above NAVD 1988,ft,reservoir_elevation,1,0,,,identical,NAVD88
usgs,00045,Precipitation total,in,precip,1,0,total,,identical,
usgs,00046,Precipitation increment,in,precip,1,0,total,,identical,
usgs,00010,Temperature water,degC,water_temp,1,0,,,identical,
usgs,00011,Temperature water,degF,water_temp,0.5555555556,-17.7777777778,,,identical,
usgs,00020,Temperature air,degC,air_temp,1,0,,,identical,
usgs,00021,Temperature air,degF,air_temp,0.5555555556,-17.7777777778,,,identical,
usgs,00035,Wind speed,mph,wind_speed,1,0,,,identical,
usgs,00036,Wind direction,degrees,wind_direction,1,0,,,identical,
usgs,00052,Relative humidity,percent,relative_humidity,1,0,,,identical,
usgs,00025,Barometric pressure,mm Hg,,1,0,,,related_not_comparable,not mapped
usgs,72019,Depth to water level below land surface,ft,gw_depth_to_water,1,0,,,identical,
usgs,62610,Groundwater level above NGVD 1929,ft,gw_level_elevation,1,0,,,identical,NGVD29
usgs,62611,Groundwater level above NAVD 1988,ft,gw_level_elevation,1,0,,,identical,NAVD88
usgs,72020,Elevation above NGVD 1929,ft,gw_level_elevation,1,0,,,identical,NGVD29
usgs,72150,Groundwater level relative to MSL,ft,gw_level_elevation,1,0,,,identical,MSL datum
usgs,00095,Specific conductance at 25C,uS/cm,specific_conductance,1,0,,,identical,
usgs,00090,Specific conductance,uS/cm,specific_conductance,1,0,,,identical,not temperature corrected at source
