site_uid,river_name,evidence
bemp:1-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:2-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:3-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:4-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:5-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:6-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:7-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:8-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:9-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:10-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:11-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:12-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:13-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:14-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:15-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:16-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:17-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:18-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:19-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:20-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:21-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:22-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
bemp:23-river,Rio Grande,"Inferred, not confirmed by BEMP: the site is a Rio Grande bosque location (Ohkay Owingeh to Las Cruces) and BEMP publishes no coordinates"
