source,source_param,source_name,source_unit,variable,factor,offset,statistic,interval,equivalence,caveat
usgs,00060,Discharge,ft3/s,discharge,1.0,0.0,,,identical,
usgs,00061,Discharge instantaneous,ft3/s,discharge,1.0,0.0,instantaneous,,identical,
usgs,00065,Gage height,ft,stage,1.0,0.0,,,identical,Local gauge datum
usgs,00054,Reservoir storage,acre-ft,reservoir_storage,1.0,0.0,,,equivalent_method,USGS-published capacity table
usgs,00062,Elevation of reservoir water surface above datum,ft,reservoir_elevation,1.0,0.0,,,equivalent_method,Datum per site
usgs,62614,Lake or reservoir water surface elevation above NGVD 1929,ft,reservoir_elevation,1.0,0.0,,,identical,NGVD29
usgs,62615,Lake or reservoir water surface elevation above NAVD 1988,ft,reservoir_elevation,1.0,0.0,,,identical,NAVD88
usgs,00045,Precipitation total,in,precip,1.0,0.0,total,,identical,
usgs,00046,Precipitation increment,in,precip,1.0,0.0,total,,identical,
usgs,00010,Temperature water,degC,water_temp,1.0,0.0,,,identical,
usgs,00011,Temperature water,degF,water_temp,0.5555555556,-17.7777777778,,,identical,
usgs,00020,Temperature air,degC,air_temp,1.0,0.0,,,identical,
usgs,00021,Temperature air,degF,air_temp,0.5555555556,-17.7777777778,,,identical,
usgs,00035,Wind speed,mph,wind_speed,1.0,0.0,,,identical,
usgs,00036,Wind direction,degrees,wind_direction,1.0,0.0,,,identical,
usgs,00052,Relative humidity,percent,relative_humidity,1.0,0.0,,,identical,
usgs,00025,Barometric pressure,mm Hg,,1.0,0.0,,,related_not_comparable,not mapped
usgs,72019,Depth to water level below land surface,ft,gw_depth_to_water,1.0,0.0,,,identical,
usgs,62610,Groundwater level above NGVD 1929,ft,gw_level_elevation,1.0,0.0,,,identical,NGVD29
usgs,62611,Groundwater level above NAVD 1988,ft,gw_level_elevation,1.0,0.0,,,identical,NAVD88
usgs,72020,Elevation above NGVD 1929,ft,gw_level_elevation,1.0,0.0,,,identical,NGVD29
usgs,72150,Groundwater level relative to MSL,ft,gw_level_elevation,1.0,0.0,,,identical,MSL datum
usgs,00095,Specific conductance at 25C,uS/cm,specific_conductance,1.0,0.0,,,identical,
usgs,00090,Specific conductance,uS/cm,specific_conductance,1.0,0.0,,,identical,not temperature corrected at source
usgs,00300,Dissolved oxygen,mg/L,dissolved_oxygen,1.0,0.0,,,identical,
usgs,00400,pH,pH,ph,1.0,0.0,,,identical,
usgs,63680,Turbidity FNU,FNU,turbidity,1.0,0.0,,,identical,
usgs,80154,Suspended sediment concentration,mg/L,suspended_sediment_conc,1.0,0.0,,,identical,
usgs,80155,Suspended sediment discharge,tons/day,suspended_sediment_discharge,1.0,0.0,,,identical,
usgs,70301,Dissolved solids sum,mg/L,tds,1.0,0.0,,,identical,
usgs,72036,Reservoir storage total,thousand acre-ft,reservoir_storage,1000.0,0.0,,,equivalent_method,kaf
usgs,00480,Salinity,ppt,,1.0,0.0,,,related_not_comparable,not mapped
usgs,72137,Discharge tidally filtered,ft3/s,,1.0,0.0,,,related_not_comparable,not mapped
usgs,30208,Discharge,m3/s,discharge,35.3146667,0.0,,,identical,
usgs,00050,Evaporation,in,,1.0,0.0,,,related_not_comparable,pan evaporation not mapped yet
usgs,72192,Precipitation cumulative,in,precip_accumulated_wy,1.0,0.0,accumulated,,equivalent_method,cumulative since reset
usgs,74207,Soil moisture volumetric,percent,soil_moisture,1.0,0.0,,,identical,
usgs,72147,Soil temperature,degC,soil_temp,1.0,0.0,,,identical,
usbr_hydrodata,17,Storage,af,reservoir_storage,1.0,0.0,,daily,equivalent_method,Reclamation HDB capacity table incl. resurveys
usbr_hydrodata,25,Evaporation,af,reservoir_evaporation,1.0,0.0,total,daily,identical,
usbr_hydrodata,29,Inflow,cfs,reservoir_inflow,1.0,0.0,mean,daily,identical,computed
usbr_hydrodata,30,Inflow volume,af,reservoir_inflow_volume,1.0,0.0,total,daily,identical,
usbr_hydrodata,42,Total release,cfs,reservoir_release,1.0,0.0,mean,daily,identical,
usbr_hydrodata,43,Release volume,af,reservoir_release_volume,1.0,0.0,total,daily,identical,
usbr_hydrodata,47,Delta storage,af,reservoir_delta_storage,1.0,0.0,total,daily,identical,
usbr_hydrodata,49,Pool elevation,ft,reservoir_elevation,1.0,0.0,,daily,identical,datum per site (mostly NGVD29 project datum)
usbr_hydrodata,89,Area,acres,reservoir_area,1.0,0.0,,daily,identical,
usbr_hydrodata,19,Flow,cfs,discharge,1.0,0.0,mean,daily,identical,
usbr_hydrodata,20,Flow volume,af,discharge_volume,1.0,0.0,total,daily,identical,
usbr_hydrodata,2217,Power release,cfs,,1.0,0.0,,,related_not_comparable,component of total release; not mapped
usbr_hydrodata,123,Modified unregulated inflow,cfs,,1.0,0.0,,,related_not_comparable,not mapped
usbr_hydrodata,124,Modified unregulated inflow volume,af,,1.0,0.0,,,related_not_comparable,not mapped
usbr_hydrodata,2256,Unregulated inflow,cfs,,1.0,0.0,,,related_not_comparable,not mapped
usbr_hydrodata,2304,Unregulated inflow volume,af,,1.0,0.0,,,related_not_comparable,not mapped
usbr_rise,Storage,Storage,af,reservoir_storage,1.0,0.0,,,equivalent_method,
usbr_rise,Reservoir Water Surface Elevation,Pool elevation,ft,reservoir_elevation,1.0,0.0,,,identical,
usbr_rise,Total Release,Total release,cfs,reservoir_release,1.0,0.0,,,identical,
usbr_rise,Inflow,Inflow,cfs,reservoir_inflow,1.0,0.0,,,identical,
usbr_rise,Evaporation,Evaporation,af,reservoir_evaporation,1.0,0.0,total,,identical,
usace_cwms,Flow,Flow,cfs,discharge,1.0,0.0,,,identical,unit=EN requested
usace_cwms,Flow-Res In,Reservoir inflow,cfs,reservoir_inflow,1.0,0.0,,,identical,computed
usace_cwms,Flow-Res Out,Reservoir outflow,cfs,reservoir_release,1.0,0.0,,,identical,
usace_cwms,Flow-Spillway,Spillway flow,cfs,,1.0,0.0,,,related_not_comparable,component
usace_cwms,Stage,Stage,ft,stage,1.0,0.0,,,identical,
usace_cwms,Elev,Pool elevation,ft,reservoir_elevation,1.0,0.0,,,identical,datum in vertical-datum-info (NGVD29 native)
usace_cwms,Stor,Storage,ac-ft,reservoir_storage,1.0,0.0,,,equivalent_method,USACE capacity table
usace_cwms,Precip,Precipitation,in,precip,1.0,0.0,total,,identical,
usace_cwms,Temp-Air,Air temperature,F,air_temp,0.5555555556,-17.7777777778,,,identical,
usace_cwms,Temp-Water,Water temperature,F,water_temp,0.5555555556,-17.7777777778,,,identical,
usace_cwms,Elev-TOC,Top of conservation elev,ft,,1.0,0.0,,,related_not_comparable,not mapped
usace_cwms,Stor-TOC,Top of conservation storage,ac-ft,,1.0,0.0,,,related_not_comparable,not mapped
usace_cwms,Stage-Shift,Stage shift,ft,,1.0,0.0,,,related_not_comparable,not mapped
nrcs,WTEQ,Snow water equivalent,in,swe,1.0,0.0,,,identical,snow pillow
nrcs,SNWD,Snow depth,in,snow_depth,1.0,0.0,,,identical,
nrcs,PREC,Precipitation accumulation,in,precip_accumulated_wy,1.0,0.0,accumulated,,identical,storage gauge cumulative since Oct 1
nrcs,PRCP,Precipitation increment,in,precip,1.0,0.0,total,,identical,daily increment of PREC
nrcs,PRCPSA,Precipitation increment snow adjusted,in,precip,1.0,0.0,total,,equivalent_method,snow-adjusted increment
nrcs,TOBS,Air temperature observed,degF,air_temp,0.5555555556,-17.7777777778,instantaneous,,identical,
nrcs,TAVG,Air temperature average,degF,air_temp,0.5555555556,-17.7777777778,mean,,identical,
nrcs,TMAX,Air temperature maximum,degF,air_temp,0.5555555556,-17.7777777778,max,,identical,
nrcs,TMIN,Air temperature minimum,degF,air_temp,0.5555555556,-17.7777777778,min,,identical,
nrcs,SMS,Soil moisture percent,pct,soil_moisture,1.0,0.0,,,identical,depth in element metadata
nrcs,STO,Soil temperature observed,degF,soil_temp,0.5555555556,-17.7777777778,,,identical,depth in element metadata
nrcs,SNDN,Snow density,pct,snow_density,1.0,0.0,,,identical,
nrcs,SRVO,Stream volume observed,kaf,discharge_volume,1000.0,0.0,total,,identical,monthly/period volumes
nrcs,SRVOO,Stream volume adjusted,kaf,discharge_volume,1000.0,0.0,total,,equivalent_method,adjusted for upstream regulation
nrcs,RESC,Reservoir storage,kaf,reservoir_storage,1000.0,0.0,,,equivalent_method,
nrcs,WSPDV,Wind speed average,mph,wind_speed,1.0,0.0,mean,,identical,
nrcs,WDIRV,Wind direction average,degree,wind_direction,1.0,0.0,mean,,identical,
nrcs,RHUM,Relative humidity,pct,relative_humidity,1.0,0.0,,,identical,
nrcs,SRADV,Solar radiation average,watt/m2,solar_radiation,1.0,0.0,mean,,identical,
nrcs,WTEQX,Snow water equivalent maximum,in,swe,1.0,0.0,max,,identical,
nrcs,SNRR,Snow rain ratio,pct,,1.0,0.0,,,related_not_comparable,not mapped
noaa_ghcnd,PRCP,Precipitation,tenths of mm,precip,0.003937007874,0.0,total,daily,identical,
