reservoir,year,capacity_af,peak_af,peak_pct,mean_af,mean_pct,low_af,low_pct,n_days,capacity_confidence,full_pool_basis
Avalon,2001,6066,1525,25.1,1525,25.1,1525,25.1,1,published,spillway crest
Avalon,2002,6066,3678,60.6,1841,30.3,21,0.3,365,published,spillway crest
Avalon,2003,6066,2204,36.3,1123,18.5,3,0.0,365,published,spillway crest
Avalon,2004,6066,4466,73.6,2112,34.8,732,12.1,366,published,spillway crest
Avalon,2005,6066,4466,73.6,1833,30.2,1026,16.9,365,published,spillway crest
Avalon,2006,6066,2794,46.1,1562,25.8,619,10.2,303,published,spillway crest
Avalon,2007,6066,2794,46.1,1581,26.1,619,10.2,365,published,spillway crest
Avalon,2008,6066,3027,49.9,1652,27.2,966,15.9,366,published,spillway crest
Avalon,2009,6066,3185,52.5,1648,27.2,790,13.0,365,published,spillway crest
Avalon,2010,6066,3266,53.8,1809,29.8,675,11.1,365,published,spillway crest
Avalon,2011,6066,2948,48.6,1649,27.2,347,5.7,365,published,spillway crest
Avalon,2012,6066,2861,47.2,1879,31.0,918,15.1,366,published,spillway crest
Avalon,2013,6066,6028,99.4,2512,41.4,826,13.6,365,published,spillway crest
Avalon,2014,6066,8069,133.0,2566,42.3,357,5.9,365,published,spillway crest
Avalon,2015,6066,5213,85.9,2953,48.7,1080,17.8,365,published,spillway crest
Avalon,2016,6066,5074,83.6,2406,39.7,788,13.0,363,published,spillway crest
Avalon,2017,6066,3215,53.0,1771,29.2,0,0.0,365,published,spillway crest
Avalon,2018,6066,3683,60.7,1451,23.9,0,0.0,365,published,spillway crest
Avalon,2019,6066,3282,54.1,1395,23.0,0,0.0,365,published,spillway crest
Avalon,2020,6066,4638,76.5,1790,29.5,0,0.0,366,published,spillway crest
Avalon,2021,6066,5692,93.8,2310,38.1,613,10.1,365,published,spillway crest
Avalon,2022,6066,3008,49.6,1394,23.0,0,0.0,365,published,spillway crest
Avalon,2023,6066,2117,34.9,1034,17.0,0,0.0,365,published,spillway crest
Avalon,2024,6066,3033,50.0,2110,34.8,869,14.3,366,published,spillway crest
Avalon,2025,6066,4119,67.9,2760,45.5,2060,34.0,364,published,spillway crest
Avalon,2026,6066,4577,75.5,3033,50.0,2139,35.3,252,published,spillway crest
