reservoir,year,capacity_af,peak_af,peak_pct,mean_af,mean_pct,low_af,low_pct,n_days,capacity_confidence,full_pool_basis
Brantley,1987,93323,0,0.0,0,0.0,0,0.0,1,low,flood pool
Brantley,1990,93323,11050,11.8,9171,9.8,7540,8.1,59,low,flood pool
Brantley,1991,93323,49270,52.8,22545,24.2,5940,6.4,354,low,flood pool
Brantley,1992,93323,50130,53.7,28650,30.7,8910,9.5,346,low,flood pool
Brantley,1993,93323,33330,35.7,24098,25.8,15360,16.5,358,medium,flood pool
Brantley,1994,93323,41910,44.9,26163,28.0,11590,12.4,336,medium,flood pool
Brantley,1995,93323,43830,47.0,27909,29.9,11230,12.0,363,medium,flood pool
Brantley,1996,93323,39260,42.1,27081,29.0,13530,14.5,258,medium,flood pool
Brantley,1997,93323,43620,46.7,28897,31.0,15290,16.4,241,medium,flood pool
Brantley,1998,93323,47990,51.4,29204,31.3,16900,18.1,365,medium,flood pool
Brantley,1999,93323,41300,44.3,37194,39.9,26853,28.8,147,medium,flood pool
Brantley,2000,93323,44672,47.9,29576,31.7,15672,16.8,366,low,flood pool
Brantley,2001,93323,39401,42.2,23456,25.1,6900,7.4,365,low,flood pool
Brantley,2002,85629,30080,35.1,14683,17.1,6241,7.3,365,published,flood pool
Brantley,2003,85629,20845,24.3,9921,11.6,2534,3.0,365,published,flood pool
Brantley,2004,85629,42466,49.6,21955,25.6,5616,6.6,366,published,flood pool
Brantley,2005,85629,43839,51.2,25881,30.2,9588,11.2,365,published,flood pool
Brantley,2006,85629,35331,41.3,21386,25.0,11923,13.9,303,published,flood pool
Brantley,2007,85629,42259,49.4,24715,28.9,4299,5.0,365,published,flood pool
Brantley,2008,85629,39834,46.5,22107,25.8,8930,10.4,366,published,flood pool
Brantley,2009,85629,29834,34.8,18318,21.4,10262,12.0,365,published,flood pool
Brantley,2010,85629,33441,39.1,19909,23.3,6434,7.5,365,published,flood pool
Brantley,2011,85629,29834,34.8,12138,14.2,5166,6.0,365,published,flood pool
Brantley,2012,85629,22201,25.9,9599,11.2,1773,2.1,366,published,flood pool
Brantley,2013,85629,38392,44.8,13600,15.9,4155,4.9,365,published,flood pool
Brantley,2014,85629,81366,95.0,45670,53.3,16699,19.5,365,published,flood pool
Brantley,2015,85629,85302,99.6,62930,73.5,19620,22.9,365,published,flood pool
Brantley,2016,85629,44543,52.0,30417,35.5,14373,16.8,366,published,flood pool
Brantley,2017,85629,40447,47.2,30096,35.1,11813,13.8,365,published,flood pool
Brantley,2018,85629,45391,53.0,27595,32.2,9008,10.5,365,published,flood pool
Brantley,2019,85629,42141,49.2,29278,34.2,12595,14.7,365,published,flood pool
Brantley,2020,85629,44439,51.9,23202,27.1,4177,4.9,366,published,flood pool
Brantley,2021,85629,48786,57.0,24561,28.7,9405,11.0,365,published,flood pool
Brantley,2022,85629,36170,42.2,24754,28.9,7877,9.2,365,published,flood pool
Brantley,2023,85629,39764,46.4,25961,30.3,12200,14.2,365,published,flood pool
Brantley,2024,85629,42391,49.5,23761,27.7,12240,14.3,366,published,flood pool
Brantley,2025,85629,42998,50.2,29253,34.2,14908,17.4,365,published,flood pool
Brantley,2026,85629,29080,34.0,18705,21.8,8885,10.4,250,published,flood pool
