reservoir,year,capacity_af,peak_af,peak_pct,mean_af,mean_pct,low_af,low_pct,n_days,capacity_confidence,full_pool_basis
El Vado,1975,194158,126270,65.0,126270,65.0,126270,65.0,1,high,spillway crest
El Vado,1976,194158,109600,56.4,109600,56.4,109600,56.4,1,high,spillway crest
El Vado,1977,194158,26430,13.6,26430,13.6,26430,13.6,1,high,spillway crest
El Vado,1978,194158,52550,27.1,52550,27.1,52550,27.1,1,high,spillway crest
El Vado,1979,194158,123235,63.5,123218,63.5,123200,63.5,2,high,spillway crest
El Vado,1980,194158,124894,64.3,112846,58.1,85285,43.9,366,high,spillway crest
El Vado,1981,194158,126019,64.9,97412,50.2,78860,40.6,365,high,spillway crest
El Vado,1982,194158,127051,65.4,104596,53.9,97952,50.4,365,high,spillway crest
El Vado,1983,194158,156301,80.5,131133,67.5,121495,62.6,365,high,spillway crest
El Vado,1984,194158,146702,75.6,132696,68.3,124795,64.3,366,high,spillway crest
El Vado,1985,194158,177791,91.6,155328,80.0,124949,64.4,365,high,spillway crest
El Vado,1986,194158,190261,98.0,183402,94.5,167124,86.1,365,high,spillway crest
El Vado,1987,184452,173785,94.2,156178,84.7,122097,66.2,365,published,spillway crest
El Vado,1988,184452,179849,97.5,151659,82.2,117387,63.6,366,published,spillway crest
El Vado,1989,184452,176066,95.5,139421,75.6,92894,50.4,365,published,spillway crest
El Vado,1990,184452,179818,97.5,124709,67.6,85676,46.4,365,published,spillway crest
El Vado,1991,184452,174533,94.6,137105,74.3,100153,54.3,365,published,spillway crest
El Vado,1992,184452,180357,97.8,124715,67.6,82245,44.6,366,published,spillway crest
El Vado,1993,184452,180389,97.8,123410,66.9,61197,33.2,365,published,spillway crest
El Vado,1994,184452,182172,98.8,119133,64.6,79147,42.9,365,published,spillway crest
El Vado,1995,184452,171488,93.0,125548,68.1,69953,37.9,365,published,spillway crest
El Vado,1996,184452,159920,86.7,85872,46.6,42652,23.1,366,published,spillway crest
El Vado,1997,184452,179880,97.5,119727,64.9,44509,24.1,365,published,spillway crest
El Vado,1998,184452,179691,97.4,122929,66.6,71543,38.8,365,published,spillway crest
El Vado,1999,184452,179913,97.5,144308,78.2,106238,57.6,365,published,spillway crest
El Vado,2000,184452,179881,97.5,97828,53.0,16326,8.9,366,published,spillway crest
El Vado,2001,184452,180549,97.9,98639,53.5,20811,11.3,365,published,spillway crest
El Vado,2002,184452,112012,60.7,50985,27.6,7900,4.3,365,published,spillway crest
El Vado,2003,184452,106547,57.8,43387,23.5,11221,6.1,365,published,spillway crest
El Vado,2004,184452,118786,64.4,58684,31.8,25677,13.9,366,published,spillway crest
El Vado,2005,184452,157931,85.6,89257,48.4,25667,13.9,365,published,spillway crest
El Vado,2006,184452,130590,70.8,85493,46.3,52691,28.6,365,published,spillway crest
El Vado,2007,184452,180643,97.9,128471,69.7,70398,38.2,365,published,spillway crest
El Vado,2008,184452,181247,98.3,144928,78.6,91010,49.3,366,published,spillway crest
El Vado,2009,184452,184703,100.1,146984,79.7,107751,58.4,365,low,spillway crest
El Vado,2010,184452,184170,99.8,122373,66.3,91329,49.5,365,low,spillway crest
El Vado,2011,184452,163009,88.4,113662,61.6,86560,46.9,365,low,spillway crest
El Vado,2012,184452,141307,76.6,67932,36.8,10444,5.7,366,low,spillway crest
El Vado,2013,184452,43773,23.7,21707,11.8,5309,2.9,365,low,spillway crest
El Vado,2014,184452,64980,35.2,30375,16.5,5479,3.0,365,low,spillway crest
El Vado,2015,184452,124957,67.7,70763,38.4,13676,7.4,365,low,spillway crest
El Vado,2016,184452,128160,69.5,60229,32.7,34255,18.6,366,low,spillway crest
El Vado,2017,184452,141806,76.9,96752,52.5,49997,27.1,365,low,spillway crest
El Vado,2018,184452,84418,45.8,39166,21.2,9344,5.1,365,low,spillway crest
El Vado,2019,184452,117372,63.6,59069,32.0,14015,7.6,365,low,spillway crest
El Vado,2020,184452,68404,37.1,36359,19.7,18813,10.2,366,low,spillway crest
El Vado,2021,184452,35154,19.1,20315,11.0,10849,5.9,365,published,spillway crest
El Vado,2022,184452,19674,10.7,5858,3.2,1474,0.8,365,published,spillway crest
El Vado,2023,184452,11080,6.0,2679,1.5,920,0.5,365,published,spillway crest
El Vado,2024,184452,16523,9.0,4244,2.3,1555,0.8,366,published,spillway crest
El Vado,2025,184452,25725,13.9,22565,12.2,16026,8.7,365,published,spillway crest
El Vado,2026,184452,25447,13.8,22970,12.5,16414,8.9,253,published,spillway crest
