year,capacity_table,capacity_af,peak_af,peak_pct,mean_af,mean_pct,low_af,low_pct,n_days,capacity_confidence
1915,orig 1915,2643340,518583,19.6,369770,14.0,47515,1.8,287,medium
1916,orig 1915,2643340,959113,36.3,702962,26.6,359075,13.6,352,medium
1917,orig 1915,2643340,1034157,39.1,752725,28.5,517978,19.6,315,medium
1918,orig 1915,2643340,572553,21.7,372566,14.1,170904,6.5,336,medium
1919,orig 1915,2643340,1137970,43.1,757002,28.6,222813,8.4,365,medium
1920,orig 1915,2643340,2147029,81.2,1574863,59.6,1034998,39.2,366,medium
1921,orig 1915,2643340,2098302,79.4,1852237,70.1,1622127,61.4,365,medium
1922,orig 1915,2643340,1993613,75.4,1730649,65.5,1441084,54.5,365,medium
1923,orig 1915,2643340,1564653,59.2,1437938,54.4,1321406,50.0,365,medium
1924,orig 1915,2643340,2215676,83.8,1797098,68.0,1564653,59.2,366,medium
1925,orig 1915,2643340,1670980,63.2,1321791,50.0,950792,36.0,365,medium
1926,1925 svy,2384131,1442307,60.5,1144750,48.0,984580,41.3,365,medium
1927,1925 svy,2384131,1386638,58.2,1223999,51.3,1080814,45.3,365,medium
1928,1925 svy,2384131,1468817,61.6,1232343,51.7,969428,40.7,366,medium
1929,1925 svy,2384131,1541233,64.6,1141882,47.9,895571,37.6,365,medium
1930,1925 svy,2384131,1629246,68.3,1454863,61.0,1243491,52.2,365,medium
1931,1925 svy,2384131,1338892,56.2,1086687,45.6,820635,34.4,365,medium
1932,1925 svy,2384131,1629246,68.3,1302630,54.6,923976,38.8,366,medium
1933,1925 svy,2384131,1437007,60.3,1262199,52.9,1102084,46.2,365,medium
1934,1925 svy,2384131,1168026,49.0,790044,33.1,470400,19.7,365,medium
1935,1935 svy,2218594,676500,30.5,558921,25.2,421600,19.0,365,medium
1936,1935 svy,2218594,881400,39.7,689237,31.1,533400,24.0,366,medium
1937,1935 svy,2218594,1418000,63.9,1070061,48.2,671800,30.3,365,medium
1938,1935 svy,2218594,1330900,60.0,1212132,54.6,1079200,48.6,365,medium
1939,1935 svy,2218594,1361000,61.3,1068255,48.2,776300,35.0,365,medium
1940,1939 rev,2218594,900600,40.6,640369,28.9,418500,18.9,366,high
1941,1939 rev,2218594,1993300,89.8,1353885,61.0,484200,21.8,365,high
1942,1939 rev,2218594,2302800,103.8,1980623,89.3,1778900,80.2,365,high
1943,1939 rev,2218594,1778900,80.2,1540307,69.4,1249500,56.3,365,high
1944,1939 rev,2218594,1522400,68.6,1321975,59.6,1130100,50.9,366,high
1945,1939 rev,2218594,1519700,68.5,1298904,58.5,1129100,50.9,365,high
1946,1939 rev,2218594,1128100,50.8,824546,37.2,539800,24.3,365,high
1947,1946 rev,2218594,575700,25.9,420219,18.9,298600,13.5,365,low
1948,1946 rev,2218594,762300,34.4,517204,23.3,374700,16.9,366,low
1949,1946 rev,2218594,795400,35.9,621764,28.0,491600,22.2,365,low
1950,1946 rev,2218594,667800,30.1,476606,21.5,322700,14.5,365,low
1951,1947 svy,2218594,329700,14.9,134181,6.0,17600,0.8,365,low
1952,1947 svy,2218594,423200,19.1,241578,10.9,16300,0.7,366,low
1953,1947 svy,2218594,378100,17.0,197596,8.9,87600,3.9,365,low
1954,1947 svy,2218594,173700,7.8,85462,3.9,9900,0.4,365,low
1955,1947 svy,2218594,160800,7.2,120480,5.4,62200,2.8,365,low
1956,1955 rev,2199528,211800,9.6,101381,4.6,22800,1.0,366,low
1957,1955 rev,2199528,777100,35.3,327541,14.9,33300,1.5,365,low
1958,1955 rev,2199528,1216700,55.3,925067,42.1,690100,31.4,365,low
1959,1955 rev,2199528,988800,45.0,728431,33.1,516100,23.5,365,low
1960,1955 rev,2199528,595400,27.1,501195,22.8,384700,17.5,366,low
1961,1960 rev,2199528,452200,20.6,311213,14.1,183800,8.4,365,low
1962,1960 rev,2199528,460900,21.0,331202,15.1,219300,10.0,365,low
1963,1960 rev,2199528,432800,19.7,228809,10.4,66500,3.0,365,low
1964,1960 rev,2199528,168600,7.7,104512,4.8,42100,1.9,366,low
1965,1960 rev,2199528,520300,23.7,270880,12.3,89300,4.1,365,low
1966,1960 rev,2199528,573200,26.1,390468,17.8,258400,11.7,365,low
1967,1960 rev,2199528,366800,16.7,229076,10.4,122900,5.6,365,low
1968,1960 rev,2199528,343500,15.6,246804,11.2,135700,6.2,366,low
1969,1960 rev,2199528,528200,24.0,375951,17.1,238500,10.8,365,low
1970,1969 svy,2138208,544200,25.5,361386,16.9,167400,7.8,365,low
1971,1969 svy,2138208,380000,17.8,192015,9.0,30600,1.4,365,low
1972,1969 svy,2138208,303600,14.2,175424,8.2,53200,2.5,366,low
1973,1969 svy,2138208,794200,37.1,562336,26.3,305100,14.3,365,low
1974,1973 rev,2110441,866000,41.0,540850,25.6,315700,15.0,365,medium
1975,1973 rev,2110441,620300,29.4,454492,21.5,365600,17.3,365,medium
1976,1973 rev,2110441,727700,34.5,471727,22.4,285700,13.5,366,medium
1977,1973 rev,2110441,356000,16.9,230807,10.9,119300,5.7,365,medium
1978,1973 rev,2110441,288800,13.7,184875,8.8,90800,4.3,365,medium
1979,1973 rev,2110441,943500,44.7,598527,28.4,185500,8.8,365,medium
1980,1973 rev,2110441,1291600,61.2,1101659,52.2,920700,43.6,366,medium
1981,1980 svy,2110441,1217400,57.7,943425,44.7,725200,34.4,365,high
1982,1980 svy,2110441,918300,43.5,797726,37.8,725800,34.4,365,high
1983,1980 svy,2110441,1359100,64.4,1149617,54.5,919700,43.6,365,high
1984,1980 svy,2110441,1614500,76.5,1445404,68.5,1300800,61.6,366,high
1985,1980 svy,2110441,2013800,95.4,1839927,87.2,1601300,75.9,365,high
1986,1980 svy,2110441,2118100,100.4,2068487,98.0,1962400,93.0,365,high
1987,1980 svy,2110441,2095600,99.3,2039631,96.6,1954600,92.6,365,high
1988,1980 svy,2110441,2099200,99.5,2025306,96.0,1911100,90.6,366,high
1989,1988 svy,2064866,2040200,98.8,1826853,88.5,1639000,79.4,365,high
1990,1988 svy,2064866,1738600,84.2,1470799,71.2,1249100,60.5,365,high
1991,1988 svy,2064866,1715200,83.1,1505325,72.9,1370900,66.4,365,high
1992,1988 svy,2064866,2018100,97.7,1835030,88.9,1716800,83.1,366,high
1993,1988 svy,2064866,2019200,97.8,1881949,91.1,1765200,85.5,365,high
1994,1988 svy,2064866,2049300,99.2,1994627,96.6,1911000,92.5,365,high
1995,1988 svy,2064866,2043107,98.9,1998323,96.8,1931900,93.6,365,high
1996,1988 svy,2064866,2045290,99.1,1818431,88.1,1634100,79.1,366,high
1997,1988 svy,2064866,1928380,93.4,1755309,85.0,1654155,80.1,365,high
1998,1988 svy,2064866,1985862,96.2,1799742,87.2,1581123,76.6,365,high
1999,1988 svy,2064866,1756101,85.0,1652531,80.0,1579929,76.5,365,high
2000,1988 svy,2064866,1739255,84.2,1439315,69.7,1182071,57.2,366,high
2001,1999 svy,2020044,1306114,64.7,1042011,51.6,840432,41.6,365,medium
2002,1999 svy,2020044,916681,45.4,569171,28.2,280622,13.9,365,medium
2003,1999 svy,2020044,405310,20.1,275061,13.6,147950,7.3,365,medium
2004,1999 svy,2020044,322870,16.0,197699,9.8,94610,4.7,366,medium
2005,1999 svy,2020044,560920,27.8,371521,18.4,196060,9.7,365,medium
2006,1999 svy,2020044,515350,25.5,378616,18.7,183870,9.1,365,medium
2007,1999 svy,2020044,611060,30.2,485625,24.0,323490,16.0,365,medium
2008,1999 svy,2020044,648790,32.1,560388,27.7,410860,20.3,366,medium
2009,2007 svy,2011201,705250,35.1,571173,28.4,448246,22.3,365,low
2010,2007 svy,2011201,604147,30.0,479277,23.8,362101,18.0,365,low
2011,2007 svy,2011201,504810,25.1,323464,16.1,189260,9.4,365,low
