era,first_day,last_day,n_days,max_elev_ft,gap_to_crest_ft,capacity_af_raw,capacity_af,monotonic_shift_pct,confidence
orig 1915,1915-03-20,1925-11-29,3815,4395.8,11.2,2643340,2643340,0.0,medium
1925 svy,1925-11-30,1934-12-30,3318,4384.6,22.4,2384131,2384131,0.0,medium
1935 svy,1934-12-31,1939-12-30,1826,4380.7,26.3,2213103,2218594,0.2,medium
1939 rev,1939-12-31,1946-12-30,2557,4409.2,-2.2,2218191,2218594,0.0,high
1946 rev,1946-12-31,1950-12-30,1461,4351.3,55.7,2216097,2218594,0.1,low
1947 svy,1950-12-31,1955-12-30,1826,4324.6,82.4,2272632,2218594,-2.4,low
1955 rev,1955-12-31,1960-12-30,1827,4374.0,33.1,2177509,2199528,1.0,low
1960 rev,1960-12-31,1969-12-30,3287,4338.3,68.7,2244536,2199528,-2.0,low
1969 svy,1969-12-31,1973-12-30,1461,4355.5,51.5,2138208,2138208,0.0,low
1973 rev,1973-12-31,1980-12-30,2557,4380.5,26.5,2088257,2110441,1.1,medium
1980 svy,1980-12-31,1988-12-30,2922,4407.2,-0.2,2111248,2110441,-0.0,high
1988 svy,1988-12-31,2000-12-30,4383,4406.6,0.4,2064866,2064866,0.0,high
1999 svy,2000-12-31,2008-12-30,2922,4383.2,23.8,2020044,2020044,0.0,medium
2007 svy,2008-12-31,2019-12-30,4017,4354.8,52.2,2011201,2011201,0.0,low
2017 svy,2019-12-31,2026-09-20,2455,4349.4,57.6,2011169,2011169,0.0,published
