reservoir,year,capacity_af,peak_af,peak_pct,mean_af,mean_pct,low_af,low_pct,n_days,capacity_confidence,full_pool_basis
Lake Sumner,1972,110941,80520,72.6,80520,72.6,80520,72.6,1,high,spillway crest
Lake Sumner,1973,110941,112400,101.3,98280,88.6,80520,72.6,356,high,spillway crest
Lake Sumner,1974,110941,102200,92.1,46226,41.7,3280,3.0,365,high,spillway crest
Lake Sumner,1975,110941,63340,57.1,32851,29.6,4000,3.6,365,high,spillway crest
Lake Sumner,1976,110941,39900,36.0,16796,15.1,3440,3.1,366,high,spillway crest
Lake Sumner,1977,110941,40120,36.2,23549,21.2,3710,3.3,365,high,spillway crest
Lake Sumner,1978,110941,48360,43.6,17421,15.7,2460,2.2,365,high,spillway crest
Lake Sumner,1979,110941,102500,92.4,69084,62.3,23080,20.8,365,high,spillway crest
Lake Sumner,1980,110941,91160,82.2,43530,39.2,1680,1.5,366,high,spillway crest
Lake Sumner,1981,110941,40590,36.6,27148,24.5,2160,1.9,365,high,spillway crest
Lake Sumner,1982,110941,48360,43.6,23482,21.2,2840,2.6,365,medium,spillway crest
Lake Sumner,1983,110941,38900,35.1,20008,18.0,4190,3.8,365,medium,spillway crest
Lake Sumner,1984,110941,32830,29.6,20696,18.7,9210,8.3,366,medium,spillway crest
Lake Sumner,1985,110941,46200,41.6,32402,29.2,8680,7.8,365,medium,spillway crest
Lake Sumner,1986,110941,68111,61.4,45939,41.4,27080,24.4,365,medium,spillway crest
Lake Sumner,1987,110941,67444,60.8,49729,44.8,27446,24.7,365,medium,spillway crest
Lake Sumner,1988,101909,46469,45.6,29093,28.5,13730,13.5,366,medium,spillway crest
Lake Sumner,1989,101909,36100,35.4,22572,22.1,12900,12.7,365,medium,spillway crest
Lake Sumner,1990,101909,32200,31.6,18889,18.5,5350,5.2,316,medium,spillway crest
Lake Sumner,1991,101909,56770,55.7,24572,24.1,2600,2.6,350,medium,spillway crest
Lake Sumner,1992,101909,64040,62.8,38893,38.2,12170,11.9,357,medium,spillway crest
Lake Sumner,1993,101909,44190,43.4,30518,29.9,13860,13.6,328,medium,spillway crest
Lake Sumner,1994,101909,44880,44.0,27750,27.2,12200,12.0,354,medium,spillway crest
Lake Sumner,1995,101909,37070,36.4,27035,26.5,19910,19.5,346,medium,spillway crest
Lake Sumner,1996,101909,43320,42.5,24863,24.4,5190,5.1,255,medium,spillway crest
Lake Sumner,1999,101909,42340,41.5,28949,28.4,22590,22.2,94,medium,spillway crest
Lake Sumner,2000,101909,36440,35.8,20658,20.3,6510,6.4,366,medium,spillway crest
Lake Sumner,2001,101909,40627,39.9,18709,18.4,3193,3.1,365,medium,spillway crest
Lake Sumner,2002,101909,14232,14.0,4729,4.6,101,0.1,364,medium,spillway crest
Lake Sumner,2003,90934,14723,16.2,8504,9.4,1619,1.8,365,medium,spillway crest
Lake Sumner,2004,90934,23721,26.1,9654,10.6,2050,2.3,366,medium,spillway crest
Lake Sumner,2005,90934,43954,48.3,33577,36.9,10206,11.2,365,medium,spillway crest
Lake Sumner,2006,90934,35331,38.9,20722,22.8,11923,13.1,365,medium,spillway crest
Lake Sumner,2007,90934,73837,81.2,25284,27.8,17626,19.4,365,published,spillway crest
Lake Sumner,2008,90934,28612,31.5,18963,20.9,0,0.0,366,published,spillway crest
Lake Sumner,2009,90934,24518,27.0,16586,18.2,7764,8.5,365,published,spillway crest
Lake Sumner,2010,90934,31447,34.6,19657,21.6,13689,15.1,365,published,spillway crest
Lake Sumner,2011,90934,25107,27.6,10642,11.7,1964,2.2,365,published,spillway crest
Lake Sumner,2012,90934,16618,18.3,6076,6.7,1712,1.9,366,published,spillway crest
Lake Sumner,2013,90934,36830,40.5,14917,16.4,3060,3.4,365,published,spillway crest
Lake Sumner,2014,90934,44945,49.4,35734,39.3,24990,27.5,365,published,spillway crest
Lake Sumner,2015,90934,47102,51.8,38107,41.9,28289,31.1,365,published,spillway crest
Lake Sumner,2016,90934,46543,51.2,31065,34.2,17701,19.5,366,published,spillway crest
Lake Sumner,2017,90934,39202,43.1,28629,31.5,19452,21.4,365,published,spillway crest
Lake Sumner,2018,90934,42930,47.2,28877,31.8,17761,19.5,365,published,spillway crest
Lake Sumner,2019,90934,33819,37.2,23939,26.3,13710,15.1,365,published,spillway crest
Lake Sumner,2020,90934,27882,30.7,15500,17.0,4808,5.3,366,published,spillway crest
Lake Sumner,2021,90934,19181,21.1,11174,12.3,4662,5.1,365,published,spillway crest
Lake Sumner,2022,90934,16993,18.7,11560,12.7,3166,3.5,365,published,spillway crest
Lake Sumner,2023,90934,28065,30.9,15757,17.3,8180,9.0,365,published,spillway crest
Lake Sumner,2024,90934,24270,26.7,14437,15.9,4678,5.1,366,published,spillway crest
Lake Sumner,2025,90934,22691,25.0,17814,19.6,9021,9.9,365,published,spillway crest
Lake Sumner,2026,90934,24003,26.4,14762,16.2,3152,3.5,246,published,spillway crest
