reservoir,year,capacity_af,peak_af,peak_pct,mean_af,mean_pct,low_af,low_pct,n_days,capacity_confidence,full_pool_basis
Nambe Falls,1999,2171,1909,87.9,1660,76.5,1510,69.6,93,high,spillway crest
Nambe Falls,2000,2171,2025,93.3,1483,68.3,926,42.7,329,high,spillway crest
Nambe Falls,2001,2046,2040,99.7,1466,71.7,873,42.7,365,high,spillway crest
Nambe Falls,2002,2046,1630,79.7,1035,50.6,674,32.9,365,high,spillway crest
Nambe Falls,2003,2046,2026,99.0,1147,56.1,449,21.9,295,high,spillway crest
Nambe Falls,2004,2046,1818,88.9,864,42.2,455,22.2,353,high,spillway crest
Nambe Falls,2005,2046,2047,100.0,1645,80.4,886,43.3,356,high,spillway crest
Nambe Falls,2006,2046,2022,98.8,1403,68.6,814,39.8,363,high,spillway crest
Nambe Falls,2007,2046,2034,99.4,1655,80.9,952,46.5,347,high,spillway crest
Nambe Falls,2008,2046,2034,99.4,1741,85.1,1188,58.1,338,high,spillway crest
Nambe Falls,2009,2046,2036,99.5,1694,82.8,1096,53.6,365,high,spillway crest
Nambe Falls,2010,2046,2040,99.7,1752,85.6,1193,58.3,349,high,spillway crest
Nambe Falls,2011,2046,2023,98.9,1371,67.0,826,40.4,348,high,spillway crest
Nambe Falls,2012,2046,2038,99.6,1461,71.4,893,43.6,365,high,spillway crest
Nambe Falls,2013,2046,2094,102.3,1714,83.8,1087,53.1,364,high,spillway crest
Nambe Falls,2014,2046,2052,100.3,1714,83.8,1053,51.5,365,high,spillway crest
Nambe Falls,2015,2046,2061,100.7,1641,80.2,1060,51.8,362,high,spillway crest
Nambe Falls,2016,2046,2041,99.8,1730,84.6,1133,55.4,334,high,spillway crest
Nambe Falls,2017,2046,2040,99.7,1955,95.6,1596,78.0,284,high,spillway crest
Nambe Falls,2018,2046,2025,99.0,1569,76.7,879,43.0,346,high,spillway crest
Nambe Falls,2019,2046,2042,99.8,1760,86.0,1045,51.1,361,high,spillway crest
Nambe Falls,2020,2046,2035,99.5,1478,72.2,758,37.0,339,high,spillway crest
Nambe Falls,2021,1752,1731,98.8,1375,78.5,1070,61.1,339,published,spillway crest
Nambe Falls,2022,1752,1760,100.5,1652,94.3,1276,72.8,365,published,spillway crest
Nambe Falls,2023,1752,1751,99.9,1392,79.5,730,41.7,359,published,spillway crest
Nambe Falls,2024,1752,1663,94.9,1505,85.9,1226,70.0,366,published,spillway crest
Nambe Falls,2025,1752,1651,94.2,1509,86.1,1133,64.7,365,published,spillway crest
Nambe Falls,2026,1752,1649,94.1,1312,74.9,856,48.9,253,published,spillway crest
