reservoir,era_id,first_date,last_date,n_days,min_elev_ft,max_elev_ft,median_departure_af,on_current_table,full_raw_af,full_gap_ft,full_af,full_shift_pct,full_confidence,label,conservation_raw_af,conservation_gap_ft,flood_raw_af,flood_gap_ft,spillway_raw_af,spillway_gap_ft,conservation_af,conservation_shift_pct,conservation_confidence,flood_af,flood_shift_pct,flood_confidence,spillway_af,spillway_shift_pct,spillway_confidence,entitlement_raw_af,entitlement_gap_ft,entitlement_af,entitlement_shift_pct,entitlement_confidence
heron,0,1974-12-31,2011-12-31,13515,7111.2,7186.1,1321,False,401333.0,0.0,401333.0,0.0,high,1974-2011 table,,,,,,,,,,,,,,,,,,,,
heron,1,2012-01-01,2026-09-23,5380,7063.1,7160.5,0,True,400031.0,0.0,400031.0,0.0,current_table,current table,,,,,,,,,,,,,,,,,,,,
el_vado,0,1975-12-31,1978-12-31,4,6817.6,6878.1,5321,False,189987.0,21.9,189987.0,-0.0,medium,1975-1978 table,,,,,,,,,,,,,,,,,,,,
el_vado,3,1979-12-31,1998-12-31,6941,6835.7,6900.1,-1319,False,180047.0,0.0,184343.0,2.4,low,1979-1998 table,,,,,,,,,,,,,,,,,,,,
el_vado,16,1999-01-01,2002-12-31,1461,6796.8,6900.1,-1494,False,179925.0,0.0,184343.0,2.5,low,1999-2002 table,,,,,,,,,,,,,,,,,,,,
el_vado,19,2003-01-01,2005-12-31,1096,6802.3,6892.7,355,False,180231.0,7.3,184343.0,2.3,low,2003-2005 table,,,,,,,,,,,,,,,,,,,,
el_vado,20,2006-01-01,2009-12-31,1461,6842.7,6900.2,-1606,False,179945.0,0.0,184343.0,2.4,low,2006-2009 table,,,,,,,,,,,,,,,,,,,,
el_vado,22,2010-01-01,2018-12-31,3287,6793.0,6899.0,1446,False,184880.0,1.0,184343.0,-0.3,high,2010-2018 table,,,,,,,,,,,,,,,,,,,,
el_vado,23,2019-01-01,2020-12-31,731,6805.6,6876.1,1285,False,185585.0,23.9,184343.0,-0.7,medium,2019-2020 table,,,,,,,,,,,,,,,,,,,,
el_vado,24,2021-01-01,2026-09-23,2092,6783.4,6828.3,0,True,184343.0,0.0,184343.0,0.0,current_table,current table,,,,,,,,,,,,,,,,,,,,
abiquiu,0,1974-12-31,1975-12-31,366,6116.5,6193.6,5381,False,,,,,,1974-1975 table,252340.0,36.4,587901.0,89.9,1255408.0,156.4,253354.0,0.4,low,591043.0,0.5,low,1261302.0,0.5,low,,,,,
abiquiu,1,1976-01-01,1977-12-31,731,6061.8,6160.3,6040,False,,,,,,1976-1977 table,255270.0,69.7,595336.0,123.2,1268443.0,189.7,253354.0,-0.8,low,591043.0,-0.7,low,1261302.0,-0.6,low,,,,,
abiquiu,2,1978-01-01,1980-12-31,1096,6141.7,6219.0,9863,False,,,,,,1978-1980 table,245133.0,11.0,573555.0,64.5,1232187.0,131.0,245880.0,0.3,medium,577060.0,0.6,low,1239095.0,0.6,low,,,,,
abiquiu,4,1981-01-01,1983-12-31,1095,6159.1,6213.6,7788,False,,,,,,1981-1983 table,246964.0,16.4,580854.0,69.9,1246285.0,136.4,245880.0,-0.4,medium,577060.0,-0.7,low,1239095.0,-0.6,low,,,,,
abiquiu,5,1984-01-01,1985-12-31,731,6193.2,6256.0,14702,False,,,,,,1984-1985 table,243735.0,0.0,567589.0,27.5,1220646.0,94.0,243735.0,-0.0,high,567589.0,0.0,medium,1220646.0,0.0,low,,,,,
abiquiu,6,1986-01-01,1990-12-31,1826,6210.6,6260.8,6562,False,,,,,,1986-1990 table,234846.0,0.0,556616.0,22.7,1206567.0,89.2,234846.0,0.0,high,556616.0,0.0,medium,1212120.0,0.5,low,,,,,
abiquiu,7,1991-01-01,1993-12-31,1096,6199.7,6236.6,4557,False,,,,,,1991-1993 table,232252.0,0.0,550997.0,46.9,1197592.0,113.4,232252.0,0.0,high,555778.0,0.9,low,1212120.0,1.2,low,,,,,
abiquiu,8,1994-01-01,1998-12-31,1826,6207.6,6244.3,4732,False,,,,,,1994-1998 table,232240.0,0.0,552066.0,39.2,1199987.0,105.7,232240.0,0.0,high,555778.0,0.7,low,1212120.0,1.0,low,,,,,
abiquiu,9,1999-01-01,2003-12-31,1826,6171.3,6220.1,-498,False,,,,,,1999-2003 table,228044.0,9.9,551531.0,63.4,1204030.0,129.9,229199.0,0.5,high,555778.0,0.8,low,1212120.0,0.7,low,,,,,
abiquiu,10,2004-01-01,2013-12-31,3653,6189.6,6226.6,-309,True,,,,,,current table,229199.0,0.0,555778.0,0.0,1212120.0,0.0,229199.0,0.0,current_table,555778.0,0.0,current_table,1212120.0,-0.0,current_table,,,,,
abiquiu,11,2014-01-01,2021-12-31,2922,6174.9,6212.3,2752,False,,,,,,2014-2021 table,228995.0,17.7,549431.0,71.2,1198138.0,137.7,229199.0,0.1,medium,555778.0,1.2,low,1212120.0,1.2,low,,,,,
abiquiu,12,2022-01-01,2026-09-23,1726,6186.2,6230.4,0,True,,,,,,current table,229199.0,0.0,555778.0,0.0,1212120.0,0.0,229199.0,0.0,current_table,555778.0,0.0,current_table,1212120.0,-0.0,current_table,,,,,
nambe_falls,0,1999-10-01,2000-12-31,421,6789.5,6825.5,505,False,2167.0,1.5,2167.0,-0.0,high,1999-2000 table,,,,,,,,,,,,,,,,,,,,
nambe_falls,2,2001-01-01,2020-12-22,6965,6789.8,6827.2,330,False,2044.0,0.0,2044.0,-0.0,high,2001-2020 table,,,,,,,,,,,,,,,,,,,,
nambe_falls,3,2021-01-04,2023-12-31,1062,6806.0,6827.1,79,False,1749.0,0.0,1749.0,0.0,high,2021-2023 table,,,,,,,,,,,,,,,,,,,,
nambe_falls,4,2024-01-01,2026-09-23,997,6808.4,6827.0,0,True,1663.0,0.0,1663.0,0.0,current_table,current table,,,,,,,,,,,,,,,,,,,,
cochiti,0,1974-12-31,1975-12-31,366,5260.0,5327.4,20079,False,,,,,,1974-1975 table,79315.0,18.1,658656.0,133.1,,,80368.0,1.3,medium,663257.0,0.7,low,,,,,,,,
cochiti,2,1976-01-01,1978-12-31,1096,5320.9,5330.8,23972,False,,,,,,1976-1978 table,80866.0,14.7,667741.0,129.7,,,80368.0,-0.6,medium,663257.0,-0.7,low,,,,,,,,
cochiti,3,1979-01-01,1982-12-31,1461,5321.0,5386.6,22547,False,,,,,,1979-1982 table,80391.0,0.0,592520.0,73.9,,,80368.0,-0.0,high,601461.0,1.5,low,,,,,,,,
cochiti,5,1983-01-01,1987-12-31,1826,5323.3,5433.3,22577,False,,,,,,1983-1987 table,73157.0,0.0,597100.0,27.2,,,73157.0,0.0,high,601461.0,0.7,medium,,,,,,,,
cochiti,6,1988-01-01,1991-12-31,1461,5330.4,5405.3,18266,False,,,,,,1988-1991 table,68427.0,0.0,595481.0,55.2,,,68427.0,-0.0,high,601461.0,1.0,low,,,,,,,,
cochiti,7,1992-01-01,1993-12-31,731,5331.4,5360.0,15802,False,,,,,,1992-1993 table,63865.0,0.0,627206.0,100.5,,,63931.0,0.1,high,601461.0,-4.1,low,,,,,,,,
cochiti,8,1994-01-01,1998-12-31,1826,5337.0,5372.6,17931,False,,,,,,1994-1998 table,63996.0,0.0,599375.0,87.9,,,63931.0,-0.1,high,601461.0,0.3,low,,,,,,,,
cochiti,9,1999-01-01,2012-12-31,5114,5338.5,5358.0,10867,False,,,,,,1999-2012 table,56044.0,0.0,617008.0,102.5,,,56044.0,-0.0,high,601461.0,-2.5,low,,,,,,,,
cochiti,10,2013-01-01,2019-12-31,2556,5341.4,5358.6,4877,False,,,,,,2013-2019 table,49088.0,0.0,593249.0,101.9,,,49088.0,0.0,high,593249.0,0.0,low,,,,,,,,
cochiti,11,2020-01-01,2026-09-23,2458,5341.7,5385.1,0,True,,,,,,current table,44129.0,0.0,570192.0,0.0,,,44129.0,0.0,current_table,570192.0,0.0,current_table,,,,,,,,
jemez_canyon,0,1974-12-31,1984-12-31,3654,5129.0,5181.1,117,False,,,,,,1974-1984 table,,,106170.0,50.9,,,,,,106170.0,-0.0,low,,,,,,,,
jemez_canyon,1,1985-01-01,1992-12-31,2922,5172.2,5219.5,597,False,,,,,,1985-1992 table,,,103038.0,12.5,,,,,,103283.0,0.2,medium,,,,,,,,
jemez_canyon,8,1993-01-01,1995-12-31,1095,5191.8,5200.7,-1512,False,,,,,,1993-1995 table,,,103285.0,31.3,,,,,,103283.0,-0.0,low,,,,,,,,
jemez_canyon,10,1996-01-01,1998-12-31,1096,5189.0,5196.8,-1582,False,,,,,,1996-1998 table,,,103935.0,35.2,,,,,,103283.0,-0.6,low,,,,,,,,
jemez_canyon,11,1999-01-01,2001-12-31,1096,5155.0,5195.0,-3414,False,,,,,,1999-2001 table,,,94680.0,37.0,,,,,,99334.0,4.9,low,,,,,,,,
jemez_canyon,13,2002-01-01,2018-12-30,6208,5155.0,5155.0,-754,False,,,,,,2002-2018 table,,,98580.0,77.0,,,,,,99334.0,0.8,low,,,,,,,,
jemez_canyon,14,2019-01-01,2026-09-23,2823,5125.0,5133.5,0,True,,,,,,current table,,,99334.0,0.0,,,,,,99334.0,0.0,current_table,,,,,,,,
galisteo,0,2018-01-01,2026-09-24,3189,5498.4,5500.0,0,True,,,,,,current table,,,89468.0,0.0,,,,,,89468.0,0.0,current_table,,,,,,,,
elephant_butte,0,1915-03-21,1925-11-29,3814,4269.1,4395.0,381991,False,2643179.0,12.0,2643179.0,0.0,medium,1915-1925 table,,,,,,,,,,,,,,,,,,,,
elephant_butte,1,1925-11-30,1934-12-30,3318,4325.1,4384.4,246238,False,2383496.0,22.6,2383496.0,0.0,medium,1925-1934 table,,,,,,,,,,,,,,,,,,,,
elephant_butte,2,1934-12-31,1939-12-30,1826,4323.6,4380.3,183278,False,2213003.0,26.7,2219192.0,0.3,medium,1934-1939 table,,,,,,,,,,,,,,,,,,,,
elephant_butte,3,1939-12-31,1946-12-30,2557,4323.7,4408.9,166809,False,2218818.0,0.0,2219192.0,0.0,high,1939-1946 table,,,,,,,,,,,,,,,,,,,,
elephant_butte,4,1946-12-31,1950-12-30,1461,4312.7,4350.9,136774,False,2216375.0,56.1,2219192.0,0.1,low,1946-1950 table,,,,,,,,,,,,,,,,,,,,
elephant_butte,5,1950-12-31,1955-12-30,1826,4259.5,4324.4,54486,False,2273338.0,82.6,2219192.0,-2.4,low,1950-1955 table,,,,,,,,,,,,,,,,,,,,
elephant_butte,6,1955-12-31,1960-12-30,1827,4268.7,4373.2,126335,False,2178822.0,33.8,2200621.0,1.0,low,1955-1960 table,,,,,,,,,,,,,,,,,,,,
elephant_butte,7,1960-12-31,1969-12-30,3287,4277.2,4337.4,76663,False,2244848.0,69.6,2200621.0,-2.0,low,1960-1969 table,,,,,,,,,,,,,,,,,,,,
elephant_butte,8,1969-12-31,1973-12-30,1461,4271.9,4354.1,50627,False,2135727.0,52.9,2135727.0,0.0,low,1969-1973 table,,,,,,,,,,,,,,,,,,,,
elephant_butte,9,1973-12-31,1980-12-30,2557,4290.4,4380.2,51645,False,2088093.0,26.8,2108337.0,1.0,medium,1973-1980 table,,,,,,,,,,,,,,,,,,,,
elephant_butte,10,1980-12-31,1988-12-30,2922,4354.6,4406.8,71855,False,2109065.0,0.0,2108337.0,-0.0,high,1980-1988 table,,,,,,,,,,,,,,,,,,,,
elephant_butte,11,1988-12-31,2000-12-30,4383,4378.2,4406.4,44200,False,2063815.0,0.0,2063815.0,0.0,high,1988-2000 table,,,,,,,,,,,,,,,,,,,,
elephant_butte,12,2000-12-31,2008-12-30,2922,4294.6,4382.8,24104,False,2020284.0,24.2,2020284.0,-0.0,medium,2000-2008 table,,,,,,,,,,,,,,,,,,,,
elephant_butte,13,2008-12-31,2019-12-30,4017,4286.4,4353.7,12644,False,2011387.0,53.3,2011387.0,-0.0,low,2008-2019 table,,,,,,,,,,,,,,,,,,,,
elephant_butte,14,2019-12-31,2026-09-23,2458,4275.3,4348.8,0,True,2010900.0,0.0,2010900.0,0.0,current_table,current table,,,,,,,,,,,,,,,,,,,,
caballo,0,1938-02-08,1940-12-31,1058,4109.6,4155.1,11717,False,354526.0,26.9,354526.0,0.0,medium,1938-1940 table,,,,,,,,,,,,,,,,,,,,
caballo,3,1941-01-01,1947-12-31,2556,4120.0,4181.9,21246,False,345925.0,0.0,346520.0,0.2,high,1941-1947 table,,,,,,,,,,,,,,,,,,,,
caballo,4,1948-01-01,1953-12-31,2192,4122.3,4174.8,17250,False,349429.0,7.2,346520.0,-0.8,high,1948-1953 table,,,,,,,,,,,,,,,,,,,,
caballo,8,1954-01-01,1961-12-31,2922,4121.0,4171.6,9334,False,345161.0,10.4,346520.0,0.4,medium,1954-1961 table,,,,,,,,,,,,,,,,,,,,
caballo,13,1962-01-01,1965-12-31,1461,4123.4,4160.0,10309,False,347668.0,22.0,346520.0,-0.3,medium,1962-1965 table,,,,,,,,,,,,,,,,,,,,
caballo,15,1966-01-01,1967-12-31,730,4131.8,4162.0,14166,False,347260.0,20.0,346520.0,-0.2,medium,1966-1967 table,,,,,,,,,,,,,,,,,,,,
