pool,elev_ft,source,comment,level_storage_af,level_storage_date,capacity_current_af,reservoir
full,7186.1,"detected from the record: 309 days at or above 7,186 ft and none above 7,187 in 52 years",,,,400031.0,heron
full,6900.0,"detected from the record: 195 days at or above 6,900 ft and none above 6,901 in 52 years",,,,184343.0,el_vado
conservation,6229.999999975079,CWMS level Abiquiu.Elev.Inst.0.Top of Conservation dated 2024-04-18,,229199.0,2024-04-18,229198.59388582915,abiquiu
flood,6283.499999974866,CWMS level Abiquiu.Elev.Inst.0.Top of Flood dated 1900-01-01,,555778.0,2022-01-01,555777.7498121242,abiquiu
spillway,6349.9999999746005,CWMS level Abiquiu.Elev.Inst.0.Spillway Crest dated 2014-05-01,,,,1212120.119687282,abiquiu
dam,6380.999999974477,CWMS level Abiquiu.Elev.Inst.0.Top of Dam dated 1900-01-01,,1662770.0,2022-01-01,1662769.8995890007,abiquiu
full,6827.0,"detected from the record: 133 days at or above 6,827 ft and none above 6,828 in 27 years",,,,1662.893,nambe_falls
conservation,5345.469999978619,CWMS level Cochiti.Elev.Inst.0.Top of Conservation dated 2025-02-25,,44129.0,2025-02-25,44128.99997434243,cochiti
flood,5460.4999999781585,CWMS level Cochiti.Elev.Inst.0.Top of Flood dated 1900-01-01,,570192.0000000001,2020-01-01,570191.9997990581,cochiti
dam,5478.999999978084,CWMS level Cochiti.Elev.Inst.0.Top of Dam dated 1900-01-01,,766819.0,2020-01-01,766818.9997501565,cochiti
flood,5231.9999999790725,CWMS level Jemez.Elev.Inst.0.Top of Flood dated 1900-01-01,,99334.00000000001,2019-01-01,99333.99994140308,jemez_canyon
dam,5271.599999978915,CWMS level Jemez.Elev.Inst.0.Top of Dam dated 1900-01-01,,259342.0,2019-01-01,259341.99988824566,jemez_canyon
conservation,5499.999999978,CWMS level Galisteo.Elev.Inst.0.Top of Conservation dated 2025-03-04,,0.0,2025-03-04,0.0,galisteo
flood,5607.999999977568,CWMS level Galisteo.Elev.Inst.0.Top of Flood dated 1900-01-01,,89468.0,1900-01-01,89467.99995289327,galisteo
dam,5645.499999977419,CWMS level Galisteo.Elev.Inst.0.Top of Dam dated 1900-01-01,,189000.00000000003,1900-01-01,93513.0,galisteo
full,4407.0,"detected from the record: the count of days at or above each elevation falls thirteenfold between 4,406 and 4,407 ft",,,,2010900.0,elephant_butte
full,4182.0,"detected from the record: 9 days at or above 4,182 ft and none above 4,183 in 88 years; also the top of the operator table",,,,324509.0,caballo
conservation,4778.609999980894,"CWMS level Santa Rosa.Elev.Inst.0.Top of Conservation dated 2017-01-01, shifted +2.11 ft to the table datum",Top of Conservation in NGVD29 elevation as built,253470.00000000003,2017-01-01,253469.9998681703,santa_rosa
flood,4799.109999980812,"CWMS level Santa Rosa.Elev.Inst.0.Top of Flood dated 2017-01-01, shifted +2.11 ft to the table datum",Top of Flood; converted to 88 (-2.11 to convert to NGVD29),438364.0,1900-01-01,432164.99980236765,santa_rosa
dam,4826.109999980696,CWMS level Santa Rosa.Elev.Inst.0.Top of Dam dated 2017-01-01,Top of Dam Elevaion in NAVD88 ,810979.0000000001,2017-01-01,801173.9996814836,santa_rosa
entitlement,4750.159999981,CWMS level Santa Rosa.Elev.Inst.0.Top of Entitlement dated 2025-01-01,"Top of Entitlement is calculated annually based on EAC survey 2017, actual storage for this elevaiton is 102,908 ",102895.00000000001,2025-01-01,102907.99992399898,santa_rosa
conservation,4260.879999982956,CWMS level Sumner.Elev.Inst.0.Top of Conservation dated 2025-02-12,Top of Active Conservation (2012) Reduction of Maintenance,35917.00000000001,2025-02-12,35210.99995739017,lake_sumner
