reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct,flood_pool_af,peak_flood_pct,days_flood_storage,inflow_af,peak_inflow_cfs,peak_inflow_date,n_days_inflow,release_af,peak_release_cfs,peak_release_date,n_days_release
abiquiu,flood_control,1969,92,published pool capacity,published_pool,183881.0,4170.0,2512.0,1480.0,1969-10-19,2.3,1.4,0.8,591043.0,0.7,0,,,,,,853.0,1969-10-21,92
abiquiu,flood_control,1970,365,published pool capacity,published_pool,183881.0,48700.0,5334.0,281.0,1970-05-25,26.5,2.9,0.2,591043.0,8.2,0,,,,,229694.0,2550.0,1970-06-13,365
abiquiu,flood_control,1971,365,published pool capacity,published_pool,183881.0,4060.0,2031.0,1460.0,1971-10-01,2.2,1.1,0.8,591043.0,0.7,0,,,,,181442.0,1350.0,1971-10-01,365
abiquiu,flood_control,1972,366,published pool capacity,published_pool,183881.0,3700.0,2126.0,1680.0,1972-09-22,2.0,1.2,0.9,591043.0,0.6,0,,,,,150815.0,1150.0,1972-02-24,366
abiquiu,flood_control,1973,365,published pool capacity,published_pool,183881.0,205300.0,68563.0,1900.0,1973-06-22,111.6,37.3,1.0,591043.0,34.7,15,,,,,416541.0,2020.0,1973-06-29,365
abiquiu,flood_control,1974,365,published pool capacity,published_pool,183881.0,42420.0,6331.0,3802.0,1974-01-01,23.1,3.4,2.1,591043.0,7.2,0,,,,,248519.0,1110.0,1974-01-01,365
abiquiu,flood_control,1975,365,published pool capacity,published_pool,183881.0,110280.0,23361.0,3988.0,1975-06-02,60.0,12.7,2.2,591043.0,18.7,0,,,,,467391.0,1755.0,1975-07-07,365
abiquiu,flood_control,1976,366,published pool capacity,published_pool,183881.0,37310.0,20042.0,0.0,1976-05-19,20.3,10.9,0.0,591043.0,6.3,0,,,,,277674.0,1550.0,1976-05-19,366
abiquiu,flood_control,1977,365,published pool capacity,published_pool,183881.0,26990.0,23269.0,18938.0,1977-06-03,14.7,12.7,10.3,591043.0,4.6,0,,,,,214071.0,1490.0,1977-06-04,365
abiquiu,flood_control,1978,365,published pool capacity,published_pool,183881.0,57180.0,22364.0,16868.0,1978-06-01,31.1,12.2,9.2,577060.0,9.9,0,,,,,307492.0,1650.0,1978-05-20,365
abiquiu,flood_control,1979,365,published pool capacity,published_pool,183881.0,146940.0,74128.0,16526.0,1979-06-28,79.9,40.3,9.0,577060.0,25.5,0,,,,,505624.0,1890.0,1979-05-17,365
abiquiu,flood_control,1980,366,published pool capacity,published_pool,183881.0,198320.0,99129.0,40318.0,1980-06-14,107.9,53.9,21.9,577060.0,34.4,9,,,,,561104.0,2240.0,1980-06-27,366
abiquiu,flood_control,1981,365,published pool capacity,published_pool,183881.0,40857.0,37904.0,35330.0,1981-01-02,22.2,20.6,19.2,577060.0,7.1,0,,,,,200471.0,1400.0,1981-05-04,365
abiquiu,flood_control,1982,365,published pool capacity,published_pool,183881.0,84515.0,40971.0,31248.0,1982-06-03,46.0,22.3,17.0,577060.0,14.6,0,,,,,441866.0,2135.0,1982-06-24,365
abiquiu,flood_control,1983,365,published pool capacity,published_pool,183881.0,175460.0,102710.0,80042.0,1983-06-14,95.4,55.9,43.5,577060.0,30.4,0,,,,,514939.0,2470.0,1983-07-15,365
abiquiu,flood_control,1984,366,published pool capacity,published_pool,183881.0,234960.0,151806.0,102380.0,1984-05-29,127.8,82.6,55.7,567589.0,41.4,34,,,,,477762.0,2530.0,1984-06-28,366
abiquiu,flood_control,1985,365,published pool capacity,published_pool,183881.0,382720.0,283464.0,159560.0,1985-06-11,208.1,154.2,86.8,567589.0,67.4,270,,,,,448105.0,2660.0,1985-05-15,365
abiquiu,flood_control,1986,365,published pool capacity,published_pool,183881.0,352238.0,288016.0,186804.0,1986-12-18,191.6,156.6,101.6,556616.0,63.3,347,,,,,563349.0,1980.0,1986-04-19,365
abiquiu,flood_control,1987,365,published pool capacity,published_pool,183881.0,402258.0,293114.0,168394.0,1987-06-22,218.8,159.4,91.6,556616.0,72.3,306,,,,,681486.0,1995.0,1987-03-31,365
abiquiu,flood_control,1988,366,published pool capacity,published_pool,183881.0,194457.0,184801.0,177369.0,1988-03-16,105.8,100.5,96.5,556616.0,34.9,12,,,,,248501.0,1190.0,1988-05-03,366
abiquiu,flood_control,1989,365,published pool capacity,published_pool,183881.0,198338.0,174426.0,154141.0,1989-03-13,107.9,94.9,83.8,556616.0,35.6,37,,,,,311290.0,2020.0,1989-04-24,365
abiquiu,flood_control,1990,365,published pool capacity,published_pool,183881.0,176095.0,166737.0,154029.0,1990-07-29,95.8,90.7,83.8,556616.0,31.6,0,,,,,205359.0,1170.0,1990-06-30,365
abiquiu,flood_control,1991,365,published pool capacity,published_pool,183881.0,256856.0,188314.0,154429.0,1991-05-28,139.7,102.4,84.0,555778.0,46.2,128,,,,,444502.0,1970.0,1991-05-16,365
abiquiu,flood_control,1992,366,published pool capacity,published_pool,183881.0,202266.0,154032.0,113803.0,1992-05-31,110.0,83.8,61.9,555778.0,36.4,34,,,,,509738.0,1940.0,1992-05-02,366
abiquiu,flood_control,1993,365,published pool capacity,published_pool,183881.0,264472.0,193288.0,127056.0,1993-06-07,143.8,105.1,69.1,555778.0,47.6,195,,,,,518785.0,1870.0,1993-06-25,365
abiquiu,flood_control,1994,365,published pool capacity,published_pool,183881.0,244441.0,176058.0,150364.0,1994-05-26,132.9,95.7,81.8,555778.0,44.0,44,,,,,510603.0,1850.0,1994-06-23,365
abiquiu,flood_control,1995,365,published pool capacity,published_pool,183881.0,305944.0,228829.0,156955.0,1995-06-25,166.4,124.4,85.4,555778.0,55.0,249,,,,,566350.0,1935.0,1995-06-27,365
abiquiu,flood_control,1996,366,published pool capacity,published_pool,183881.0,218573.0,171537.0,140868.0,1996-01-01,118.9,93.3,76.6,555778.0,39.3,79,,,,,368148.0,1480.0,1996-05-19,366
abiquiu,flood_control,1997,365,published pool capacity,published_pool,183881.0,193634.0,172404.0,157864.0,1997-06-09,105.3,93.8,85.9,555778.0,34.8,2,,,,,379367.0,1810.0,1997-05-31,365
abiquiu,flood_control,1998,365,published pool capacity,published_pool,183881.0,185670.0,167223.0,149995.0,1998-05-24,101.0,90.9,81.6,555778.0,33.4,0,,,,,407514.0,1820.0,1998-05-29,365
abiquiu,flood_control,1999,365,published pool capacity,published_pool,183881.0,185703.0,173874.0,160280.0,1999-03-29,101.0,94.6,87.2,555778.0,33.4,0,,,,,246746.0,1800.0,1999-05-28,365
abiquiu,flood_control,2000,366,published pool capacity,published_pool,183881.0,182234.0,132978.0,69213.0,2000-03-14,99.1,72.3,37.6,555778.0,32.8,0,,,,,443092.0,1560.0,2000-06-20,366
abiquiu,flood_control,2001,365,published pool capacity,published_pool,183881.0,153498.0,118048.0,91495.0,2001-06-17,83.5,64.2,49.8,555778.0,27.6,0,250344.0,1992.0,2001-05-22,365.0,196939.0,1030.0,2001-09-12,365
abiquiu,flood_control,2002,365,published pool capacity,published_pool,183881.0,156452.0,96029.0,41247.0,2002-03-19,85.1,52.2,22.4,555778.0,28.2,0,253522.0,1117.0,2002-06-21,365.0,329977.0,1540.0,2002-05-13,365
abiquiu,flood_control,2003,365,published pool capacity,published_pool,183881.0,73064.0,54396.0,41807.0,2003-08-14,39.7,29.6,22.7,555778.0,13.1,0,252067.0,1383.0,2003-07-28,365.0,222845.0,1210.0,2003-05-14,365
abiquiu,flood_control,2004,366,published pool capacity,published_pool,183881.0,136608.0,114684.0,73349.0,2004-05-14,74.3,62.4,39.9,555778.0,24.6,0,274660.0,2095.0,2004-05-13,366.0,221700.0,1770.0,2004-05-14,366
abiquiu,flood_control,2005,365,published pool capacity,published_pool,183881.0,193408.0,122506.0,110455.0,2005-05-21,105.2,66.6,60.1,555778.0,34.8,1,409136.0,4741.0,2005-04-22,365.0,365219.0,1910.0,2005-04-20,365
abiquiu,flood_control,2006,365,published pool capacity,published_pool,183881.0,173587.0,157028.0,134153.0,2006-04-18,94.4,85.4,73.0,555778.0,31.2,0,266002.0,1277.0,2006-07-22,365.0,227888.0,1305.0,2006-06-23,365
abiquiu,flood_control,2007,365,published pool capacity,published_pool,183881.0,187291.0,177131.0,157749.0,2007-05-18,101.9,96.3,85.8,555778.0,33.7,0,271213.0,2065.0,2007-05-17,365.0,248580.0,1870.0,2007-05-18,365
abiquiu,flood_control,2008,366,published pool capacity,published_pool,183881.0,194200.0,180901.0,174056.0,2008-06-05,105.6,98.4,94.7,555778.0,34.9,6,502683.0,2467.0,2008-05-26,366.0,475210.0,1725.0,2008-04-15,366
abiquiu,flood_control,2009,365,published pool capacity,published_pool,183881.0,218576.0,184165.0,175899.0,2009-05-25,118.9,100.2,95.7,555778.0,39.3,33,440580.0,5160.0,2009-05-09,365.0,423998.0,1830.0,2009-05-28,365
abiquiu,flood_control,2010,365,published pool capacity,published_pool,183881.0,196587.0,177033.0,151112.0,2010-05-01,106.9,96.3,82.2,555778.0,35.4,20,386540.0,2574.0,2010-04-17,365.0,365954.0,1755.0,2010-04-26,365
abiquiu,flood_control,2011,365,published pool capacity,published_pool,183881.0,185216.0,170295.0,147283.0,2011-12-19,100.7,92.6,80.1,555778.0,33.3,0,315817.0,1557.0,2011-06-01,365.0,302628.0,1540.0,2011-06-05,365
abiquiu,flood_control,2012,366,published pool capacity,published_pool,183881.0,181475.0,164629.0,143175.0,2012-01-01,98.7,89.5,77.9,555778.0,32.7,0,329226.0,1128.0,2012-06-21,366.0,339310.0,1400.0,2012-06-21,366
abiquiu,flood_control,2013,365,published pool capacity,published_pool,183881.0,171023.0,149839.0,124113.0,2013-03-22,93.0,81.5,67.5,555778.0,30.8,0,247370.0,1109.0,2013-05-03,365.0,237332.0,1100.0,2013-06-04,365
abiquiu,flood_control,2014,365,published pool capacity,published_pool,186820.0,154715.0,136059.0,117437.0,2014-01-03,82.8,72.8,62.9,555778.0,27.8,0,206343.0,1776.0,2014-04-26,365.0,222324.0,1740.0,2014-05-14,365
abiquiu,flood_control,2015,365,published pool capacity,published_pool,186820.0,147540.0,131333.0,118560.0,2015-10-30,79.0,70.3,63.5,555778.0,26.5,0,315204.0,1338.0,2015-05-23,365.0,303749.0,1310.0,2015-05-24,365
abiquiu,flood_control,2016,366,published pool capacity,published_pool,186820.0,147079.0,126547.0,112199.0,2016-05-31,78.7,67.7,60.1,555778.0,26.5,0,294201.0,3182.0,2016-05-25,366.0,295597.0,1775.0,2016-05-30,366
abiquiu,flood_control,2017,365,published pool capacity,published_pool,186820.0,155043.0,132762.0,117244.0,2017-06-06,83.0,71.1,62.8,555778.0,27.9,0,515887.0,3179.0,2017-04-27,365.0,506678.0,1870.0,2017-05-27,365
abiquiu,flood_control,2018,365,published pool capacity,published_pool,186820.0,126089.0,101366.0,78078.0,2018-03-24,67.5,54.3,41.8,555778.0,22.7,0,269920.0,1044.0,2018-07-02,365.0,297359.0,1158.0,2018-05-22,365
abiquiu,flood_control,2019,365,published pool capacity,published_pool,186820.0,106256.0,74584.0,57447.0,2019-05-13,56.9,39.9,30.7,555778.0,19.1,0,516701.0,3543.0,2019-05-01,365.0,504187.0,1855.0,2019-05-25,365
abiquiu,flood_control,2020,366,published pool capacity,published_pool,186820.0,92386.0,72928.0,50752.0,2020-05-12,49.5,39.0,27.2,555778.0,16.6,0,224604.0,854.0,2020-06-27,366.0,229921.0,1040.0,2020-07-14,366
abiquiu,flood_control,2021,365,published pool capacity,published_pool,186820.0,85126.0,72066.0,63939.0,2021-12-01,45.6,38.6,34.2,555778.0,15.3,0,220200.0,2590.0,2021-11-30,365.0,200808.0,1570.0,2021-05-11,365
abiquiu,flood_control,2022,365,published pool capacity,published_pool,184753.0,124855.0,96125.0,75304.0,2022-09-23,67.6,52.0,40.8,555778.0,22.5,0,243531.0,1955.0,2022-04-28,365.0,210164.0,1795.0,2022-04-30,365
abiquiu,flood_control,2023,365,published pool capacity,published_pool,184753.0,232686.0,144526.0,72362.0,2023-06-03,125.9,78.2,39.2,555778.0,41.9,119,466306.0,4510.0,2023-05-18,365.0,475752.0,1710.0,2023-04-28,365
abiquiu,flood_control,2024,366,published pool capacity,published_pool,229199.0,114674.0,96432.0,76729.0,2024-12-16,50.0,42.1,33.5,555778.0,20.6,0,257506.0,2056.0,2024-05-05,366.0,220877.0,1510.0,2024-04-25,366
abiquiu,flood_control,2025,365,published pool capacity,published_pool,229199.0,122999.0,108231.0,94133.0,2025-11-20,53.7,47.2,41.1,555778.0,22.1,0,162031.0,1193.0,2025-05-12,365.0,148261.0,1360.0,2025-12-05,365
abiquiu,flood_control,2026,255,published pool capacity,published_pool,229199.0,122637.0,113206.0,107947.0,2026-04-06,53.5,49.4,47.1,555778.0,22.1,0,,699.0,2026-03-27,254.0,,449.0,2026-05-19,254
