reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct,inflow_af,peak_inflow_cfs,peak_inflow_date,n_days_inflow,release_af,peak_release_cfs,peak_release_date,n_days_release
avalon,diversion,1965,92,earliest derived table (no elevation record yet),before_elevation_record,6123.0,1480.0,711.0,0.0,1965-12-30,24.2,11.6,0.0,,,,,,0.0,1965-10-01,92
avalon,diversion,1966,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,8820.0,1954.0,540.0,1966-08-23,144.0,31.9,8.8,,,,,186937.0,33600.0,1966-08-23,365
avalon,diversion,1967,353,earliest derived table (no elevation record yet),before_elevation_record,6123.0,4560.0,2260.0,587.0,1967-07-04,74.5,36.9,9.6,,,,,5486.0,2055.0,1967-08-09,365
avalon,diversion,1968,274,earliest derived table (no elevation record yet),before_elevation_record,6123.0,3810.0,2032.0,845.0,1968-07-09,62.2,33.2,13.8,,,,,18.0,7.0,1968-07-05,366
avalon,diversion,1969,93,earliest derived table (no elevation record yet),before_elevation_record,6123.0,5420.0,4365.0,791.0,1969-10-30,88.5,71.3,12.9,,,,,44242.0,10000.0,1969-10-19,365
avalon,diversion,1970,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,5020.0,2479.0,472.0,1970-01-01,82.0,40.5,7.7,,,,,2148.0,26.0,1970-01-01,365
avalon,diversion,1971,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,3770.0,1704.0,268.0,1971-02-25,61.6,27.8,4.4,,,,,0.0,0.0,1971-01-01,365
avalon,diversion,1972,366,earliest derived table (no elevation record yet),before_elevation_record,6123.0,5570.0,1879.0,106.0,1972-09-15,91.0,30.7,1.7,,,,,24062.0,2460.0,1972-09-09,366
avalon,diversion,1973,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,5520.0,2581.0,406.0,1973-05-08,90.2,42.2,6.6,,,,,46633.0,1440.0,1973-05-18,365
avalon,diversion,1974,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,6170.0,2483.0,364.0,1974-10-23,100.8,40.6,5.9,,,,,132206.0,12400.0,1974-09-23,365
avalon,diversion,1975,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,5070.0,2238.0,494.0,1975-01-01,82.8,36.6,8.1,,,,,5293.0,100.0,1975-01-02,365
avalon,diversion,1976,366,earliest derived table (no elevation record yet),before_elevation_record,6123.0,3940.0,2274.0,686.0,1976-04-01,64.3,37.1,11.2,,,,,0.0,0.0,1976-01-01,366
avalon,diversion,1977,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,4200.0,2136.0,0.0,1977-04-05,68.6,34.9,0.0,,,,,0.0,0.0,1977-01-01,365
avalon,diversion,1978,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,5570.0,2902.0,0.0,1978-09-27,91.0,47.4,0.0,,,,,22415.0,6780.0,1978-09-25,365
avalon,diversion,1979,310,earliest derived table (no elevation record yet),before_elevation_record,6123.0,5620.0,2991.0,406.0,1979-06-18,91.8,48.9,6.6,,,,,4556.0,661.0,1979-06-17,365
avalon,diversion,1980,335,earliest derived table (no elevation record yet),before_elevation_record,6123.0,4880.0,2115.0,144.0,1980-09-28,79.7,34.5,2.4,,,,,70.0,22.0,1980-09-25,366
avalon,diversion,1981,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,4340.0,2145.0,712.0,1981-01-20,70.9,35.0,11.6,,,,,0.0,0.0,1981-01-01,365
avalon,diversion,1982,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,3160.0,1404.0,0.0,1982-05-05,51.6,22.9,0.0,,,,,0.0,0.0,1982-01-01,365
avalon,diversion,1983,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,3280.0,1613.0,532.0,1983-12-31,53.6,26.3,8.7,,,,,0.0,0.0,1983-01-01,365
avalon,diversion,1984,366,earliest derived table (no elevation record yet),before_elevation_record,6123.0,4900.0,1991.0,616.0,1984-08-17,80.0,32.5,10.1,,,,,48151.0,8950.0,1984-08-11,366
avalon,diversion,1985,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,4520.0,2031.0,0.0,1985-01-15,73.8,33.2,0.0,,,,,5541.0,260.0,1985-10-23,365
avalon,diversion,1986,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,5390.0,2626.0,532.0,1986-07-07,88.0,42.9,8.7,,,,,193446.0,17000.0,1986-06-24,365
avalon,diversion,1987,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,4998.0,3264.0,662.0,1987-06-09,81.6,53.3,10.8,,,,,85528.0,472.0,1987-06-09,365
avalon,diversion,1988,366,earliest derived table (no elevation record yet),before_elevation_record,6123.0,3883.0,1566.0,90.0,1988-01-31,63.4,25.6,1.5,,,,,74.0,13.0,1988-11-17,366
avalon,diversion,1989,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,2710.0,884.0,63.0,1989-05-14,44.3,14.4,1.0,,,,,0.0,0.0,1989-01-05,365
avalon,diversion,1990,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,2330.0,1287.0,573.0,1990-04-02,38.1,21.0,9.4,,,,,4.0,1.0,1990-04-23,365
avalon,diversion,1991,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,3620.0,1540.0,573.0,1991-09-29,59.1,25.2,9.4,,,,,61754.0,750.0,1991-09-17,365
avalon,diversion,1992,366,earliest derived table (no elevation record yet),before_elevation_record,6123.0,5000.0,1786.0,616.0,1992-05-27,81.7,29.2,10.1,,,,,52321.0,1000.0,1992-06-02,366
avalon,diversion,1993,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,2480.0,1234.0,391.0,1993-02-07,40.5,20.2,6.4,,,,,17976.0,618.0,1993-10-22,365
avalon,diversion,1994,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,2030.0,995.0,0.0,1994-02-10,33.2,16.2,0.0,,,,,18886.0,569.0,1994-07-19,365
avalon,diversion,1995,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,2560.0,903.0,0.0,1995-03-03,41.8,14.7,0.0,,,,,16947.0,339.0,1995-10-08,365
avalon,diversion,1996,366,earliest derived table (no elevation record yet),before_elevation_record,6123.0,3790.0,1145.0,0.0,1996-08-31,61.9,18.7,0.0,,,,,23651.0,335.0,1996-05-24,366
avalon,diversion,1997,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,3030.0,1533.0,56.0,1997-02-28,49.5,25.0,0.9,,,,,44943.0,641.0,1997-11-01,365
avalon,diversion,1998,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,3430.0,1830.0,732.0,1998-03-10,56.0,29.9,12.0,,,,,21898.0,450.0,1998-07-18,365
avalon,diversion,1999,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,4200.0,1452.0,18.0,1999-03-03,68.6,23.7,0.3,,,,,18382.0,522.0,1999-10-23,365
avalon,diversion,2000,366,earliest derived table (no elevation record yet),before_elevation_record,6123.0,2590.0,1200.0,19.0,2000-12-31,42.3,19.6,0.3,,,,,19982.0,417.0,2000-11-04,366
avalon,diversion,2001,365,earliest derived table (no elevation record yet),before_elevation_record,6123.0,3430.0,1719.0,619.0,2001-03-09,56.0,28.1,10.1,,,,,9889.0,517.0,2001-12-20,365
avalon,diversion,2002,365,2002-2005 table,high,6123.0,3678.0,1845.0,21.0,2002-07-07,60.1,30.1,0.3,,,,,13635.0,488.0,2002-12-05,365
avalon,diversion,2003,365,2002-2005 table,high,6123.0,2204.0,1118.0,3.0,2003-11-20,36.0,18.3,0.0,,,,,5842.0,536.0,2003-11-22,365
avalon,diversion,2004,366,2002-2005 table,high,6123.0,4466.0,2113.0,732.0,2004-11-01,72.9,34.5,12.0,,,,,93409.0,18485.0,2004-04-03,366
avalon,diversion,2005,365,2002-2005 table,high,6123.0,4466.0,1832.0,1026.0,2005-02-19,72.9,29.9,16.8,,,,,55822.0,594.0,2005-12-22,365
avalon,diversion,2006,365,2006-2011 table,medium,6123.0,2794.0,1465.0,619.0,2006-03-03,45.6,23.9,10.1,,,,,17007.0,916.0,2006-11-21,365
avalon,diversion,2007,365,2006-2011 table,medium,6123.0,2794.0,1581.0,619.0,2007-03-01,45.6,25.8,10.1,,,,,18008.0,966.0,2007-11-02,365
avalon,diversion,2008,366,2006-2011 table,medium,6123.0,3027.0,1651.0,966.0,2008-03-23,49.4,27.0,15.8,,,,,17030.0,958.0,2008-11-06,366
avalon,diversion,2009,365,2006-2011 table,medium,6123.0,3185.0,1648.0,790.0,2009-03-22,52.0,26.9,12.9,,,,,99.0,25.0,2009-07-31,365
avalon,diversion,2010,365,2006-2011 table,medium,6123.0,3266.0,1810.0,675.0,2010-03-20,53.3,29.6,11.0,,,,,18985.0,972.0,2010-11-02,365
avalon,diversion,2011,365,2006-2011 table,medium,6123.0,2948.0,1648.0,347.0,2011-03-21,48.1,26.9,5.7,,,,,0.0,0.0,2011-01-01,365
avalon,diversion,2012,366,current table,current_table,6123.0,2861.0,1879.0,918.0,2012-03-12,46.7,30.7,15.0,,,,,0.0,0.0,2012-01-01,366
avalon,diversion,2013,365,current table,current_table,6123.0,6028.0,2511.0,826.0,2013-09-12,98.4,41.0,13.5,,,,,36203.0,4240.0,2013-09-11,365
avalon,diversion,2014,365,current table,current_table,6123.0,8069.0,2566.0,357.0,2014-09-21,131.8,41.9,5.8,,,,,55138.0,10909.0,2014-09-21,365
avalon,diversion,2015,365,current table,current_table,6123.0,5213.0,2953.0,1080.0,2015-08-10,85.1,48.2,17.6,,,,,53394.0,658.0,2015-08-21,365
avalon,diversion,2016,366,current table,current_table,6123.0,5074.0,2405.0,788.0,2016-01-15,82.9,39.3,12.9,,,,,17249.0,339.0,2016-01-27,366
avalon,diversion,2017,365,current table,current_table,6123.0,3215.0,1778.0,0.0,2017-03-18,52.5,29.0,0.0,,,,,0.0,0.0,2017-01-01,365
avalon,diversion,2018,365,current table,current_table,6123.0,3683.0,1451.0,0.0,2018-03-17,60.2,23.7,0.0,,,,,0.0,0.0,2018-01-01,365
avalon,diversion,2019,365,current table,current_table,6123.0,3282.0,1395.0,0.0,2019-06-05,53.6,22.8,0.0,,,,,0.0,0.0,2019-01-01,365
