reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct,release_af,peak_release_cfs,peak_release_date,n_days_release
bluewater,storage,1988,91,dam registry normal storage,owner_reported,38510.0,10700.0,10253.0,9940.0,1988-10-02,27.8,26.6,25.8,,,,
bluewater,storage,1989,309,dam registry normal storage,owner_reported,38510.0,11590.0,6845.0,2740.0,1989-03-15,30.1,17.8,7.1,,2.0,1989-08-01,164.0
bluewater,storage,1990,359,dam registry normal storage,owner_reported,38510.0,14900.0,2652.0,1930.0,1990-02-14,38.7,6.9,5.0,407.0,2.0,1990-08-27,365.0
bluewater,storage,1991,308,dam registry normal storage,owner_reported,38510.0,15060.0,8133.0,2230.0,1991-04-24,39.1,21.1,5.8,11131.0,59.0,1991-05-25,365.0
bluewater,storage,1992,366,dam registry normal storage,owner_reported,38510.0,11550.0,6452.0,174.0,1992-04-21,30.0,16.8,0.5,6779.0,45.0,1992-06-30,366.0
bluewater,storage,1993,356,dam registry normal storage,owner_reported,38510.0,35730.0,24170.0,4620.0,1993-04-22,92.8,62.8,12.0,12700.0,58.0,1993-09-22,365.0
bluewater,storage,1994,359,dam registry normal storage,owner_reported,38510.0,25930.0,16823.0,1950.0,1994-04-16,67.3,43.7,5.1,14109.0,75.0,1994-07-07,365.0
bluewater,storage,1995,299,dam registry normal storage,owner_reported,38510.0,25380.0,16694.0,10410.0,1995-04-28,65.9,43.4,27.0,15943.0,98.0,1995-05-05,365.0
bluewater,storage,1996,254,dam registry normal storage,owner_reported,38510.0,9960.0,5534.0,3160.0,1996-02-16,25.9,14.4,8.2,5916.0,84.0,1996-05-29,366.0
bluewater,storage,1997,365,dam registry normal storage,owner_reported,38510.0,6310.0,5250.0,3140.0,1997-05-26,16.4,13.6,8.2,632.0,21.0,1997-09-21,365.0
bluewater,storage,1998,365,dam registry normal storage,owner_reported,38510.0,27490.0,16184.0,5770.0,1998-05-04,71.4,42.0,15.0,11291.0,80.0,1998-07-02,365.0
bluewater,storage,1999,365,dam registry normal storage,owner_reported,38510.0,14960.0,9240.0,4090.0,1999-01-01,38.8,24.0,10.6,9365.0,86.0,1999-05-19,365.0
bluewater,storage,2000,366,dam registry normal storage,owner_reported,38510.0,4100.0,3346.0,2640.0,2000-01-02,10.6,8.7,6.9,245.0,3.0,2000-08-28,366.0
bluewater,storage,2001,365,dam registry normal storage,owner_reported,38510.0,5200.0,3484.0,2610.0,2001-04-16,13.5,9.0,6.8,,0.0,2001-02-06,53.0
bluewater,storage,2002,365,dam registry normal storage,owner_reported,38510.0,2840.0,2185.0,1634.0,2002-01-01,7.4,5.7,4.2,,,,
bluewater,storage,2003,365,dam registry normal storage,owner_reported,38510.0,5843.0,4157.0,1576.0,2003-04-15,15.2,10.8,4.1,,,,
bluewater,storage,2004,366,dam registry normal storage,owner_reported,38510.0,5022.0,3994.0,3290.0,2004-04-17,13.0,10.4,8.5,,,,
bluewater,storage,2005,365,dam registry normal storage,owner_reported,38510.0,9914.0,5186.0,3191.0,2005-05-06,25.7,13.5,8.3,,,,
bluewater,storage,2006,365,dam registry normal storage,owner_reported,38510.0,3185.0,2614.0,2180.0,2006-01-01,8.3,6.8,5.7,,,,
bluewater,storage,2007,365,dam registry normal storage,owner_reported,38510.0,3020.0,2550.0,2160.0,2007-12-31,7.8,6.6,5.6,,,,
bluewater,storage,2008,366,dam registry normal storage,owner_reported,38510.0,7160.0,5032.0,2944.0,2008-04-12,18.6,13.1,7.6,,,,
bluewater,storage,2009,365,dam registry normal storage,owner_reported,38510.0,6987.0,4401.0,1580.0,2009-05-18,18.1,11.4,4.1,,,,
bluewater,storage,2010,365,dam registry normal storage,owner_reported,38510.0,12390.0,7727.0,2396.0,2010-04-22,32.2,20.1,6.2,,,,
bluewater,storage,2011,365,dam registry normal storage,owner_reported,38510.0,6960.0,5651.0,4574.0,2011-01-01,18.1,14.7,11.9,,,,
bluewater,storage,2012,366,dam registry normal storage,owner_reported,38510.0,5985.0,4571.0,3364.0,2012-04-05,15.5,11.9,8.7,,,,
bluewater,storage,2013,365,dam registry normal storage,owner_reported,38510.0,4433.0,3280.0,2403.0,2013-09-22,11.5,8.5,6.2,,,,
