reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct,flood_pool_af,peak_flood_pct,days_flood_storage,inflow_af,peak_inflow_cfs,peak_inflow_date,n_days_inflow,release_af,peak_release_cfs,peak_release_date,n_days_release
brantley,flood_control,1988,366,1988-1988 table,low,45577.0,19400.0,4725.0,0.0,1988-12-10,42.6,10.4,0.0,388226.0,5.0,0,,,,,92532.0,496.0,1988-06-23,360
brantley,flood_control,1989,365,1988-1988 table,low,45577.0,42300.0,19496.0,5230.0,1989-05-30,92.8,42.8,11.5,388226.0,10.9,0,,,,,107308.0,545.0,1989-05-12,365
brantley,flood_control,1990,365,1988-1988 table,low,45577.0,14270.0,8490.0,2040.0,1990-08-19,31.3,18.6,4.5,388226.0,3.7,0,,,,,70864.0,395.0,1990-04-12,365
brantley,flood_control,1991,365,1990-1992 table,high,45577.0,49270.0,22772.0,5940.0,1991-09-22,108.1,50.0,13.0,388226.0,12.7,0,,,,,153270.0,913.0,1991-09-17,365
brantley,flood_control,1992,366,1990-1992 table,high,45577.0,50130.0,29523.0,8910.0,1992-06-16,110.0,64.8,19.5,388226.0,12.9,0,,,,,169254.0,1200.0,1992-06-03,366
brantley,flood_control,1993,365,1993-1999 table,low,45577.0,33330.0,24081.0,15360.0,1993-05-01,73.1,52.8,33.7,388226.0,8.6,0,,,,,130092.0,833.0,1993-07-20,365
brantley,flood_control,1994,365,1993-1999 table,low,45577.0,42500.0,26091.0,11590.0,1994-03-19,93.2,57.2,25.4,388226.0,10.9,0,,,,,135216.0,878.0,1994-07-19,365
brantley,flood_control,1995,365,1993-1999 table,low,45577.0,43830.0,27914.0,11230.0,1995-07-06,96.2,61.2,24.6,388226.0,11.3,0,,,,,144448.0,790.0,1995-07-13,365
brantley,flood_control,1996,366,1993-1999 table,low,45577.0,39260.0,25923.0,13530.0,1996-07-07,86.1,56.9,29.7,388226.0,10.1,0,,,,,126503.0,713.0,1996-05-22,366
brantley,flood_control,1997,365,1993-1999 table,low,45577.0,43620.0,28131.0,15290.0,1997-08-26,95.7,61.7,33.5,388226.0,11.2,0,,,,,143042.0,739.0,1997-07-21,365
brantley,flood_control,1998,365,1993-1999 table,low,45577.0,47990.0,29166.0,16900.0,1998-03-28,105.3,64.0,37.1,388226.0,12.4,0,,,,,139124.0,771.0,1998-07-22,365
brantley,flood_control,1999,365,1993-1999 table,low,45577.0,41300.0,31709.0,18083.0,1999-03-28,90.6,69.6,39.7,388226.0,10.6,0,,,,,131607.0,783.0,1999-10-15,365
brantley,flood_control,2000,366,2000-2001 table,low,45577.0,44672.0,29571.0,15672.0,2000-03-20,98.0,64.9,34.4,388226.0,11.5,0,,,,,122687.0,775.0,2000-07-19,366
brantley,flood_control,2001,365,2000-2001 table,low,45577.0,39401.0,23511.0,6900.0,2001-06-02,86.4,51.6,15.1,388226.0,10.1,0,,,,,97716.0,583.0,2001-12-20,365
brantley,flood_control,2002,365,current table,current_table,42934.0,30080.0,14673.0,6241.0,2002-04-13,70.1,34.2,14.5,384035.0,7.8,0,,,,,64188.0,493.0,2002-12-11,365
brantley,flood_control,2003,365,current table,current_table,42934.0,20845.0,9937.0,2534.0,2003-03-26,48.6,23.1,5.9,384035.0,5.4,0,,,,,56349.0,567.0,2003-11-22,365
brantley,flood_control,2004,366,current table,current_table,42934.0,42466.0,21871.0,5616.0,2004-11-01,98.9,50.9,13.1,384035.0,11.1,0,,,,,92635.0,572.0,2004-11-21,366
brantley,flood_control,2005,365,current table,current_table,42934.0,43839.0,25949.0,9588.0,2005-02-14,102.1,60.4,22.3,384035.0,11.4,0,,,,,140759.0,558.0,2005-03-19,365
brantley,flood_control,2006,365,current table,current_table,42934.0,35331.0,21477.0,11778.0,2006-03-09,82.3,50.0,27.4,384035.0,9.2,0,,,,,99976.0,957.0,2006-11-21,365
brantley,flood_control,2007,365,current table,current_table,42934.0,42259.0,24733.0,4299.0,2007-03-29,98.4,57.6,10.0,384035.0,11.0,0,,,,,105689.0,1070.0,2007-11-02,365
brantley,flood_control,2008,366,current table,current_table,42934.0,39834.0,22088.0,8930.0,2008-04-07,92.8,51.4,20.8,384035.0,10.4,0,,,,,98367.0,1110.0,2008-11-02,366
brantley,flood_control,2009,365,current table,current_table,42934.0,29834.0,18326.0,10262.0,2009-04-01,69.5,42.7,23.9,384035.0,7.8,0,,,,,74680.0,432.0,2009-05-13,365
brantley,flood_control,2010,365,current table,current_table,42934.0,33441.0,19921.0,6434.0,2010-04-09,77.9,46.4,15.0,384035.0,8.7,0,,,,,102120.0,1110.0,2010-11-02,365
brantley,flood_control,2011,365,current table,current_table,42934.0,29834.0,12140.0,5166.0,2011-03-28,69.5,28.3,12.0,384035.0,7.8,0,,,,,54575.0,432.0,2011-09-14,365
brantley,flood_control,2012,366,current table,current_table,42934.0,22201.0,9616.0,1773.0,2012-04-03,51.7,22.4,4.1,384035.0,5.8,0,,,,,40926.0,384.0,2012-09-20,366
brantley,flood_control,2013,365,published pool capacity,published_pool,43862.0,38392.0,13524.0,4155.0,2013-09-21,87.5,30.8,9.5,384035.0,10.0,0,,,,,63493.0,1400.0,2013-09-24,365
brantley,flood_control,2014,365,published pool capacity,published_pool,42057.0,81366.0,45536.0,16699.0,2014-12-29,193.5,108.3,39.7,384035.0,21.2,103,,,,,101128.0,1370.0,2014-05-01,365
brantley,flood_control,2015,365,published pool capacity,published_pool,42196.0,85302.0,63033.0,19620.0,2015-03-28,202.2,149.4,46.5,384035.0,22.2,244,,,,,153264.0,1320.0,2015-08-04,365
brantley,flood_control,2016,366,published pool capacity,published_pool,42300.0,44543.0,30440.0,14373.0,2016-01-05,105.3,72.0,34.0,384035.0,11.6,0,,,,,98939.0,476.0,2016-04-25,366
brantley,flood_control,2017,365,published pool capacity,published_pool,42374.0,40447.0,30082.0,11813.0,2017-12-31,95.5,71.0,27.9,384035.0,10.5,0,,,,,75342.0,296.0,2017-06-18,365
brantley,flood_control,2018,365,published pool capacity,published_pool,42452.0,45391.0,27624.0,9008.0,2018-02-27,106.9,65.1,21.2,384035.0,11.8,0,71973.0,830.0,2018-09-12,359.0,83418.0,492.0,2018-03-01,365
brantley,flood_control,2019,365,published pool capacity,published_pool,42513.0,42110.0,29244.0,12595.0,2019-12-31,99.1,68.8,29.6,384035.0,11.0,0,94833.0,1109.0,2019-10-02,363.0,84462.0,357.0,2019-06-26,365
brantley,flood_control,2020,366,published pool capacity,published_pool,42602.0,44439.0,23292.0,4177.0,2020-01-27,104.3,54.7,9.8,384035.0,11.6,0,52802.0,820.0,2020-06-21,364.0,85476.0,352.0,2020-06-14,366
brantley,flood_control,2021,365,published pool capacity,published_pool,42602.0,48786.0,24513.0,9352.0,2021-08-18,114.5,57.5,22.0,384035.0,12.7,0,72786.0,2252.0,2021-08-15,365.0,55489.0,817.0,2021-08-21,365
brantley,flood_control,2022,365,published pool capacity,published_pool,42602.0,36090.0,24729.0,7877.0,2022-12-31,84.7,58.0,18.5,384035.0,9.4,0,65926.0,1073.0,2022-08-28,364.0,56667.0,299.0,2022-05-18,365
brantley,flood_control,2023,365,published pool capacity,published_pool,42602.0,39764.0,26002.0,12200.0,2023-03-10,93.3,61.0,28.6,384035.0,10.4,0,65305.0,860.0,2023-08-29,365.0,78210.0,303.0,2023-07-30,365
brantley,flood_control,2024,366,published pool capacity,published_pool,42835.0,42265.0,23704.0,12240.0,2024-12-31,98.7,55.3,28.6,384035.0,11.0,0,95289.0,1505.0,2024-10-28,366.0,74429.0,323.0,2024-08-07,366
brantley,flood_control,2025,365,published pool capacity,published_pool,42835.0,42998.0,29316.0,14908.0,2025-01-09,100.4,68.4,34.8,384035.0,11.2,0,61515.0,1702.0,2025-11-26,365.0,85673.0,409.0,2025-07-18,365
brantley,flood_control,2026,264,published pool capacity,published_pool,42835.0,29080.0,18420.0,8885.0,2026-05-12,67.9,43.0,20.7,384035.0,7.6,0,,1041.0,2026-08-06,264.0,,311.0,2026-04-02,265
