reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct,inflow_af,peak_inflow_cfs,peak_inflow_date,n_days_inflow,release_af,peak_release_cfs,peak_release_date,n_days_release
caballo,storage,1938,327,1938-1940 table,medium,354526.0,154850.0,16965.0,118.0,1938-08-17,43.7,4.8,0.0,,,,,,2430.0,1938-08-05,327
caballo,storage,1939,365,1938-1940 table,medium,354526.0,196240.0,59720.0,16900.0,1939-11-01,55.4,16.8,4.8,,,,,789277.0,2490.0,1939-08-30,365
caballo,storage,1940,366,1938-1940 table,medium,354526.0,80750.0,29108.0,8120.0,1940-02-08,22.8,8.2,2.3,,,,,732097.0,2550.0,1940-07-14,366
caballo,storage,1941,365,1941-1947 table,high,346520.0,277290.0,82591.0,4230.0,1941-12-31,80.0,23.8,1.2,,,,,704437.0,2360.0,1941-07-10,365
caballo,storage,1942,365,1941-1947 table,high,346520.0,346570.0,267316.0,134930.0,1942-03-04,100.0,77.1,38.9,,,,,1795948.0,7650.0,1942-05-20,365
caballo,storage,1943,365,1941-1947 table,high,346520.0,335640.0,169310.0,3770.0,1943-02-28,96.9,48.9,1.1,,,,,912110.0,2920.0,1943-08-06,365
caballo,storage,1944,366,1941-1947 table,high,346520.0,284860.0,149112.0,8040.0,1944-03-11,82.2,43.0,2.3,,,,,866378.0,3000.0,1944-08-05,366
caballo,storage,1945,365,1941-1947 table,high,346520.0,301980.0,150720.0,5130.0,1945-03-15,87.1,43.5,1.5,,,,,883010.0,2680.0,1945-07-28,365
caballo,storage,1946,365,1941-1947 table,high,346520.0,279950.0,152493.0,21030.0,1946-03-10,80.8,44.0,6.1,,,,,763583.0,2730.0,1946-04-01,365
caballo,storage,1947,365,1941-1947 table,high,346520.0,309570.0,137196.0,3760.0,1947-03-15,89.3,39.6,1.1,,,,,725011.0,2810.0,1947-07-10,365
caballo,storage,1948,366,1948-1953 table,high,346520.0,188370.0,98671.0,11200.0,1948-03-19,54.4,28.5,3.2,,,,,742087.0,3030.0,1948-06-24,366
caballo,storage,1949,365,1948-1953 table,high,346520.0,194710.0,126218.0,33450.0,1949-12-31,56.2,36.4,9.7,,,,,712335.0,2830.0,1949-04-01,365
caballo,storage,1950,365,1948-1953 table,high,346520.0,273110.0,142922.0,25800.0,1950-02-25,78.8,41.2,7.4,,,,,719508.0,3080.0,1950-03-25,365
caballo,storage,1951,365,1948-1953 table,high,346520.0,172590.0,83251.0,4220.0,1951-03-11,49.8,24.0,1.2,,,,,469544.0,2310.0,1951-08-19,365
caballo,storage,1952,366,1948-1953 table,high,346520.0,99730.0,50274.0,2400.0,1952-06-12,28.8,14.5,0.7,,,,,543806.0,2840.0,1952-06-26,366
caballo,storage,1953,365,1948-1953 table,high,346520.0,174190.0,70868.0,4300.0,1953-03-11,50.3,20.5,1.2,,,,,528749.0,2820.0,1953-03-30,365
caballo,storage,1954,365,1954-1961 table,medium,346520.0,37790.0,20914.0,8640.0,1954-03-22,10.9,6.0,2.5,,,,,244344.0,1840.0,1954-03-28,365
caballo,storage,1955,365,1954-1961 table,medium,346520.0,29810.0,13048.0,3820.0,1955-07-31,8.6,3.8,1.1,,,,,219275.0,2240.0,1955-09-09,365
caballo,storage,1956,366,1954-1961 table,medium,346520.0,18940.0,7476.0,3540.0,1956-03-18,5.5,2.2,1.0,,,,,246149.0,2240.0,1956-03-25,366
caballo,storage,1957,365,1954-1961 table,medium,346520.0,24880.0,9491.0,2600.0,1957-08-11,7.2,2.7,0.8,,,,,395297.0,2540.0,1957-08-17,365
