reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct,flood_pool_af,peak_flood_pct,days_flood_storage,inflow_af,peak_inflow_cfs,peak_inflow_date,n_days_inflow,release_af,peak_release_cfs,peak_release_date,n_days_release
cochiti,flood_control,1975,365,published pool capacity,published_pool,47434.0,56225.0,26960.0,3548.0,1975-12-31,118.5,56.8,7.5,663257.0,8.5,0,,,,,1075069.0,4545.0,1975-06-18,365
cochiti,flood_control,1976,366,published pool capacity,published_pool,47434.0,60950.0,48025.0,47082.0,1976-01-09,128.5,101.2,99.3,663257.0,9.2,4,,,,,652143.0,3100.0,1976-05-20,366
cochiti,flood_control,1977,365,published pool capacity,published_pool,47434.0,49190.0,47548.0,47059.0,1977-06-03,103.7,100.2,99.2,663257.0,7.4,0,,,,,323645.0,1310.0,1977-06-04,365
cochiti,flood_control,1978,365,published pool capacity,published_pool,47434.0,59802.0,52791.0,46948.0,1978-08-11,126.1,111.3,99.0,663257.0,9.0,3,,,,,599218.0,3560.0,1978-05-20,365
cochiti,flood_control,1979,365,published pool capacity,published_pool,44922.0,184370.0,66757.0,44790.0,1979-06-21,410.4,148.6,99.7,601461.0,30.7,180,,,,,1717880.0,6865.0,1979-05-30,365
cochiti,flood_control,1980,366,published pool capacity,published_pool,44922.0,71884.0,49294.0,45548.0,1980-05-27,160.0,109.7,101.4,601461.0,12.0,48,,,,,1332319.0,6860.0,1980-05-27,366
cochiti,flood_control,1981,365,published pool capacity,published_pool,44922.0,49804.0,46455.0,45236.0,1981-02-26,110.9,103.4,100.7,601461.0,8.3,0,,,,,393729.0,1710.0,1981-05-04,365
cochiti,flood_control,1982,365,published pool capacity,published_pool,47562.0,48690.0,41554.0,39923.0,1982-06-03,102.4,87.4,83.9,601461.0,8.1,0,,,,,1082674.0,5120.0,1982-06-02,365
cochiti,flood_control,1983,365,published pool capacity,published_pool,47562.0,78569.0,46644.0,42227.0,1983-06-05,165.2,98.1,88.8,601461.0,13.1,20,,,,,1340251.0,6670.0,1983-06-16,365
cochiti,flood_control,1984,366,published pool capacity,published_pool,47562.0,76668.0,48667.0,45506.0,1984-05-28,161.2,102.3,95.7,601461.0,12.7,23,,,,,1276471.0,9020.0,1984-05-30,366
cochiti,flood_control,1985,365,published pool capacity,published_pool,47562.0,282716.0,148660.0,45431.0,1985-06-28,594.4,312.6,95.5,601461.0,47.0,267,,,,,1674907.0,8295.0,1985-05-06,365
cochiti,flood_control,1986,365,published pool capacity,published_pool,47562.0,300997.0,144361.0,50446.0,1986-07-03,632.9,303.5,106.1,601461.0,50.0,276,,,,,1869691.0,4900.0,1986-08-06,365
