reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct,flood_pool_af,peak_flood_pct,days_flood_storage,inflow_af,peak_inflow_cfs,peak_inflow_date,n_days_inflow
conchas,flood_control,1965,92,published pool capacity,published_pool,315735.0,350300.0,347463.0,343400.0,1965-10-19,110.9,110.0,108.8,515695.0,67.9,92,,,,
conchas,flood_control,1966,365,published pool capacity,published_pool,315735.0,347100.0,309878.0,274500.0,1966-02-27,109.9,98.1,86.9,515695.0,67.3,108,,,,
conchas,flood_control,1967,365,published pool capacity,published_pool,315735.0,284400.0,265577.0,225700.0,1967-09-17,90.1,84.1,71.5,515695.0,55.1,0,,,,
conchas,flood_control,1968,366,published pool capacity,published_pool,315735.0,272100.0,239695.0,208900.0,1968-03-13,86.2,75.9,66.2,515695.0,52.8,0,,,,
conchas,flood_control,1969,365,published pool capacity,published_pool,315735.0,313000.0,243287.0,192800.0,1969-12-30,99.1,77.1,61.1,515695.0,60.7,0,,,,
conchas,flood_control,1970,365,published pool capacity,published_pool,315735.0,320000.0,284218.0,239500.0,1970-04-23,101.4,90.0,75.9,515695.0,62.1,0,,,,
conchas,flood_control,1971,365,published pool capacity,published_pool,315735.0,241800.0,188236.0,150100.0,1971-02-21,76.6,59.6,47.5,515695.0,46.9,0,,,,
conchas,flood_control,1972,366,published pool capacity,published_pool,315735.0,216900.0,166821.0,111300.0,1972-12-30,68.7,52.8,35.3,515695.0,42.1,0,,,,
conchas,flood_control,1973,365,published pool capacity,published_pool,315735.0,315600.0,262998.0,217000.0,1973-06-01,100.0,83.3,68.7,515695.0,61.2,0,,,,
conchas,flood_control,1974,365,published pool capacity,published_pool,315735.0,256500.0,185979.0,129000.0,1974-02-12,81.2,58.9,40.9,515695.0,49.7,0,,,,
conchas,flood_control,1975,365,published pool capacity,published_pool,315735.0,133000.0,109027.0,81550.0,1975-03-16,42.1,34.5,25.8,515695.0,25.8,0,,,,
conchas,flood_control,1976,366,published pool capacity,published_pool,315735.0,95620.0,83340.0,78080.0,1976-07-29,30.3,26.4,24.7,515695.0,18.5,0,,,,
conchas,flood_control,1977,365,published pool capacity,published_pool,315735.0,129400.0,95074.0,80140.0,1977-09-04,41.0,30.1,25.4,515695.0,25.1,0,,,,
conchas,flood_control,1978,365,published pool capacity,published_pool,315735.0,118800.0,97820.0,80700.0,1978-07-01,37.6,31.0,25.6,515695.0,23.0,0,,,,
conchas,flood_control,1979,365,published pool capacity,published_pool,315735.0,179400.0,133705.0,88370.0,1979-08-29,56.8,42.3,28.0,515695.0,34.8,0,,,,
conchas,flood_control,1980,366,published pool capacity,published_pool,315735.0,182200.0,144498.0,114600.0,1980-06-13,57.7,45.8,36.3,515695.0,35.3,0,,,,
conchas,flood_control,1981,365,published pool capacity,published_pool,315735.0,158200.0,120241.0,77440.0,1981-09-17,50.1,38.1,24.5,515695.0,30.7,0,,,,
conchas,flood_control,1982,365,published pool capacity,published_pool,315735.0,245100.0,186688.0,125900.0,1982-08-31,77.6,59.1,39.9,515695.0,47.5,0,,,,
conchas,flood_control,1983,365,published pool capacity,published_pool,315735.0,291500.0,252559.0,222800.0,1983-06-20,92.3,80.0,70.6,515695.0,56.5,0,,,,
conchas,flood_control,1984,366,published pool capacity,published_pool,315735.0,225300.0,209647.0,194600.0,1984-02-14,71.4,66.4,61.6,515695.0,43.7,0,,,,
conchas,flood_control,1985,365,published pool capacity,published_pool,315735.0,302500.0,259254.0,205200.0,1985-06-26,95.8,82.1,65.0,515695.0,58.7,0,,,,
conchas,flood_control,1986,365,published pool capacity,published_pool,315735.0,317200.0,286652.0,256100.0,1986-12-31,100.5,90.8,81.1,515695.0,61.5,0,,,,
conchas,flood_control,1987,365,published pool capacity,published_pool,315735.0,335200.0,319252.0,299600.0,1987-03-03,106.2,101.1,94.9,515695.0,65.0,23,,,,
conchas,flood_control,1988,366,published pool capacity,published_pool,315735.0,292200.0,276470.0,263800.0,1988-03-06,92.5,87.6,83.6,515695.0,56.7,0,,,,
conchas,flood_control,1989,365,published pool capacity,published_pool,315735.0,268800.0,235184.0,209000.0,1989-03-13,85.1,74.5,66.2,515695.0,52.1,0,,,,
conchas,flood_control,1990,365,published pool capacity,published_pool,315735.0,216500.0,195690.0,165300.0,1990-03-31,68.6,62.0,52.4,515695.0,42.0,0,,,,
conchas,flood_control,1991,365,published pool capacity,published_pool,315735.0,287700.0,213544.0,160900.0,1991-12-31,91.1,67.6,51.0,515695.0,55.8,0,,,,
conchas,flood_control,1992,366,published pool capacity,published_pool,315735.0,307400.0,288913.0,259300.0,1992-04-01,97.4,91.5,82.1,515695.0,59.6,0,,,,
conchas,flood_control,1993,365,published pool capacity,published_pool,315735.0,278200.0,263219.0,245300.0,1993-04-20,88.1,83.4,77.7,515695.0,53.9,0,,,,
