reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct,release_af,peak_release_cfs,peak_release_date,n_days_release
costilla,storage,1991,275,dam registry normal storage,owner_reported,15830.0,8230.0,5365.0,3400.0,1991-06-03,52.0,33.9,21.5,,130.0,1991-07-23,191
costilla,storage,1992,366,dam registry normal storage,owner_reported,15830.0,9020.0,5074.0,1580.0,1992-06-20,57.0,32.1,10.0,,146.0,1992-07-16,214
costilla,storage,1993,365,dam registry normal storage,owner_reported,15830.0,10600.0,5169.0,2530.0,1993-06-21,67.0,32.7,16.0,,147.0,1993-07-26,202
costilla,storage,1994,365,dam registry normal storage,owner_reported,15830.0,16500.0,8215.0,4210.0,1994-06-01,104.2,51.9,26.6,,189.0,1994-06-02,209
costilla,storage,1995,365,dam registry normal storage,owner_reported,15830.0,16500.0,10294.0,6360.0,1995-06-19,104.2,65.0,40.2,,166.0,1995-06-20,169
costilla,storage,1996,366,dam registry normal storage,owner_reported,15830.0,13300.0,6846.0,1020.0,1996-04-27,84.0,43.2,6.4,,139.0,1996-06-03,197
costilla,storage,1997,365,dam registry normal storage,owner_reported,15830.0,11500.0,5840.0,2500.0,1997-06-22,72.6,36.9,15.8,,129.0,1997-07-21,181
costilla,storage,1998,365,dam registry normal storage,owner_reported,15830.0,11000.0,6724.0,3200.0,1998-06-01,69.5,42.5,20.2,,111.0,1998-06-25,181
costilla,storage,1999,365,dam registry normal storage,owner_reported,15830.0,16100.0,11328.0,5400.0,1999-06-20,101.7,71.6,34.1,,94.0,1999-09-13,196
costilla,storage,2000,366,dam registry normal storage,owner_reported,15830.0,16000.0,9509.0,2630.0,2000-05-07,101.1,60.1,16.6,,137.0,2000-05-22,197
costilla,storage,2001,365,dam registry normal storage,owner_reported,15830.0,11400.0,5800.0,2900.0,2001-06-01,72.0,36.6,18.3,,130.0,2001-07-02,175
costilla,storage,2002,365,dam registry normal storage,owner_reported,15830.0,6110.0,3062.0,535.0,2002-05-04,38.6,19.3,3.4,,75.0,2002-05-28,160
costilla,storage,2003,365,dam registry normal storage,owner_reported,15830.0,5361.0,3620.0,2215.0,2003-06-02,33.9,22.9,14.0,,74.0,2003-07-15,175
costilla,storage,2004,366,dam registry normal storage,owner_reported,15830.0,10490.0,5370.0,2245.0,2004-05-25,66.3,33.9,14.2,,90.0,2004-06-24,183
costilla,storage,2005,365,dam registry normal storage,owner_reported,15830.0,16240.0,8745.0,3768.0,2005-06-21,102.6,55.2,23.8,,112.0,2005-07-20,168
costilla,storage,2006,365,dam registry normal storage,owner_reported,15830.0,12320.0,7719.0,3568.0,2006-05-14,77.8,48.8,22.5,,81.0,2006-06-05,162
costilla,storage,2007,365,dam registry normal storage,owner_reported,15830.0,15950.0,9559.0,5712.0,2007-06-25,100.8,60.4,36.1,,106.0,2007-07-16,192
costilla,storage,2008,366,dam registry normal storage,owner_reported,15830.0,15180.0,10343.0,7369.0,2008-06-08,95.9,65.3,46.6,,94.0,2008-06-23,181
costilla,storage,2009,365,dam registry normal storage,owner_reported,15830.0,15520.0,9617.0,5457.0,2009-06-13,98.0,60.8,34.5,,114.0,2009-08-17,175
costilla,storage,2010,365,dam registry normal storage,owner_reported,15830.0,15690.0,9237.0,6426.0,2010-06-13,99.1,58.4,40.6,,94.0,2010-06-26,152
costilla,storage,2011,365,dam registry normal storage,owner_reported,15830.0,9916.0,5402.0,1329.0,2011-05-14,62.6,34.1,8.4,,77.0,2011-06-06,145
costilla,storage,2012,366,dam registry normal storage,owner_reported,15830.0,5474.0,2753.0,1328.0,2012-05-15,34.6,17.4,8.4,,66.0,2012-05-29,188
costilla,storage,2013,365,dam registry normal storage,owner_reported,15830.0,4282.0,2740.0,1458.0,2013-05-19,27.0,17.3,9.2,,56.0,2013-06-24,197
costilla,storage,2014,365,dam registry normal storage,owner_reported,15830.0,5949.0,3667.0,2017.0,2014-06-09,37.6,23.2,12.7,,68.0,2014-06-17,176
costilla,storage,2015,365,dam registry normal storage,owner_reported,15830.0,12670.0,7760.0,3260.0,2015-07-18,80.0,49.0,20.6,,81.0,2015-08-20,177
costilla,storage,2016,366,dam registry normal storage,owner_reported,15830.0,12430.0,8568.0,4234.0,2016-06-13,78.5,54.1,26.7,,97.0,2016-05-14,220
costilla,storage,2017,365,dam registry normal storage,owner_reported,15830.0,14200.0,9341.0,5311.0,2017-06-24,89.7,59.0,33.6,,84.0,2017-09-11,168
costilla,storage,2018,365,dam registry normal storage,owner_reported,15830.0,12770.0,7032.0,1813.0,2018-05-15,80.7,44.4,11.5,,92.0,2018-05-23,188
costilla,storage,2019,365,dam registry normal storage,owner_reported,15830.0,11240.0,6094.0,2791.0,2019-07-03,71.0,38.5,17.6,,88.0,2019-07-17,179
costilla,storage,2020,366,dam registry normal storage,owner_reported,15830.0,9186.0,4867.0,1329.0,2020-05-17,58.0,30.7,8.4,,79.0,2020-06-03,180
costilla,storage,2021,365,dam registry normal storage,owner_reported,15830.0,6788.0,3931.0,2424.0,2021-06-14,42.9,24.8,15.3,,67.0,2021-07-05,190
costilla,storage,2022,365,dam registry normal storage,owner_reported,15830.0,6214.0,4541.0,2874.0,2022-12-31,39.3,28.7,18.2,,55.0,2022-05-31,180
costilla,storage,2023,365,dam registry normal storage,owner_reported,15830.0,12010.0,6852.0,3199.0,2023-06-17,75.9,43.3,20.2,,89.0,2023-07-18,189
costilla,storage,2024,366,dam registry normal storage,owner_reported,15830.0,6829.0,4279.0,1442.0,2024-05-27,43.1,27.0,9.1,,77.0,2024-06-11,168
costilla,storage,2025,365,dam registry normal storage,owner_reported,15830.0,6135.0,3409.0,1303.0,2025-06-09,38.8,21.5,8.2,,56.0,2025-07-17,209
costilla,storage,2026,264,dam registry normal storage,owner_reported,15830.0,3660.0,2179.0,677.0,2026-05-14,23.1,13.8,4.3,,53.0,2026-06-08,165
