reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct,inflow_af,peak_inflow_cfs,peak_inflow_date,n_days_inflow,release_af,peak_release_cfs,peak_release_date,n_days_release
el_vado,storage,1974,1,earliest derived table (no elevation record yet),before_elevation_record,189987.0,86400.0,86400.0,86400.0,1974-12-31,45.5,45.5,45.5,,,,,,29.0,1974-12-31,1
el_vado,storage,1975,1,1975-1978 table,medium,189987.0,126270.0,126270.0,126270.0,1975-12-31,66.5,66.5,66.5,,,,,385636.0,3260.0,1975-05-22,365
el_vado,storage,1976,1,1975-1978 table,medium,189987.0,109600.0,109600.0,109600.0,1976-12-31,57.7,57.7,57.7,,,,,283862.0,1820.0,1976-05-16,366
el_vado,storage,1977,1,1975-1978 table,medium,189987.0,26430.0,26430.0,26430.0,1977-12-31,13.9,13.9,13.9,,,,,186686.0,1420.0,1977-06-11,365
el_vado,storage,1978,1,1975-1978 table,medium,189987.0,52550.0,52550.0,52550.0,1978-12-31,27.7,27.7,27.7,,,,,270268.0,3340.0,1978-05-16,365
el_vado,storage,1979,1,1979-1998 table,low,184343.0,123200.0,123200.0,123200.0,1979-12-31,66.8,66.8,66.8,,,,,452664.0,3320.0,1979-05-07,365
el_vado,storage,1980,366,1979-1998 table,low,184343.0,124894.0,112888.0,85285.0,1980-05-05,67.8,61.2,46.3,,,,,480266.0,4640.0,1980-05-22,366
el_vado,storage,1981,365,1979-1998 table,low,184343.0,126019.0,97436.0,78860.0,1981-05-19,68.4,52.9,42.8,,,,,182214.0,1240.0,1981-06-22,365
el_vado,storage,1982,365,1979-1998 table,low,184343.0,127051.0,104519.0,97952.0,1982-12-13,68.9,56.7,53.1,,,,,447693.0,4000.0,1982-05-04,365
el_vado,storage,1983,365,1979-1998 table,low,184343.0,156301.0,131126.0,121495.0,1983-08-08,84.8,71.1,65.9,,,,,459239.0,4370.0,1983-05-30,365
el_vado,storage,1984,366,1979-1998 table,low,184343.0,146702.0,132708.0,124795.0,1984-06-06,79.6,72.0,67.7,,,,,468311.0,4910.0,1984-05-17,366
el_vado,storage,1985,365,1979-1998 table,low,184343.0,177791.0,155198.0,124949.0,1985-10-20,96.4,84.2,67.8,,,,,538934.0,5690.0,1985-05-06,365
el_vado,storage,1986,365,1979-1998 table,low,184343.0,190261.0,183417.0,167944.0,1986-06-26,103.2,99.5,91.1,,,,,547270.0,4640.0,1986-05-06,365
el_vado,storage,1987,365,1979-1998 table,low,184343.0,173785.0,156301.0,122320.0,1987-06-17,94.3,84.8,66.4,,,,,433188.0,3320.0,1987-05-02,365
el_vado,storage,1988,366,1979-1998 table,low,184343.0,179849.0,151542.0,117387.0,1988-06-12,97.6,82.2,63.7,,,,,225604.0,1790.0,1988-05-02,366
el_vado,storage,1989,365,1979-1998 table,low,184343.0,176066.0,139618.0,93094.0,1989-05-26,95.5,75.7,50.5,,,,,281528.0,2130.0,1989-04-22,365
el_vado,storage,1990,365,1979-1998 table,low,184343.0,179818.0,124677.0,85676.0,1990-05-24,97.5,67.6,46.5,,,,,185318.0,1180.0,1990-09-16,365
el_vado,storage,1991,365,1979-1998 table,low,184343.0,174533.0,137071.0,100153.0,1991-04-22,94.7,74.4,54.3,,,,,390244.0,3800.0,1991-05-12,365
el_vado,storage,1992,366,1979-1998 table,low,184343.0,180357.0,124810.0,82501.0,1992-05-20,97.8,67.7,44.8,,,,,405013.0,3110.0,1992-05-02,366
el_vado,storage,1993,365,1979-1998 table,low,184343.0,180389.0,123353.0,61197.0,1993-06-14,97.9,66.9,33.2,,,,,508330.0,3870.0,1993-05-28,365
el_vado,storage,1994,365,1979-1998 table,low,184343.0,182172.0,119198.0,79308.0,1994-06-10,98.8,64.7,43.0,,,,,438327.0,4350.0,1994-05-18,365
el_vado,storage,1995,365,1979-1998 table,low,184343.0,171488.0,125474.0,69953.0,1995-07-20,93.0,68.1,37.9,,,,,540543.0,4750.0,1995-05-23,365
el_vado,storage,1996,366,1979-1998 table,low,184343.0,159920.0,86041.0,42652.0,1996-05-07,86.8,46.7,23.1,,,,,294292.0,1150.0,1996-05-10,366
el_vado,storage,1997,365,1979-1998 table,low,184343.0,179880.0,119548.0,44444.0,1997-06-30,97.6,64.9,24.1,,,,,345037.0,2540.0,1997-05-07,365
el_vado,storage,1998,365,1979-1998 table,low,184343.0,179691.0,122938.0,71543.0,1998-06-04,97.5,66.7,38.8,,,,,381616.0,2510.0,1998-05-14,365
el_vado,storage,1999,365,1999-2002 table,low,184343.0,179913.0,144217.0,106193.0,1999-06-08,97.6,78.2,57.6,,,,,226840.0,2540.0,1999-05-15,365
el_vado,storage,2000,366,1999-2002 table,low,184343.0,179881.0,98144.0,16326.0,2000-05-11,97.6,53.2,8.9,,,,,336855.0,1250.0,2000-05-26,366
el_vado,storage,2001,365,1999-2002 table,low,184343.0,180549.0,98433.0,20811.0,2001-06-10,97.9,53.4,11.3,296735.0,4340.0,2001-05-15,365.0,222212.0,2040.0,2001-05-21,365
el_vado,storage,2002,365,1999-2002 table,low,184343.0,112012.0,51225.0,7900.0,2002-04-18,60.8,27.8,4.3,156045.0,940.0,2002-06-29,365.0,247012.0,1030.0,2002-06-18,365
el_vado,storage,2003,365,2003-2005 table,low,184343.0,106547.0,43335.0,11215.0,2003-06-09,57.8,23.5,6.1,259290.0,2047.0,2003-04-29,365.0,232954.0,1340.0,2003-08-02,365
el_vado,storage,2004,366,2003-2005 table,low,184343.0,118786.0,58697.0,25677.0,2004-05-11,64.4,31.8,13.9,255722.0,2720.0,2004-05-07,366.0,254850.0,2110.0,2004-05-13,366
