reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct,inflow_af,peak_inflow_cfs,peak_inflow_date,n_days_inflow,release_af,peak_release_cfs,peak_release_date,n_days_release
elephant_butte,storage,1915,286,1915-1925 table,medium,2643179.0,518583.0,369808.0,47515.0,1915-07-30,19.6,14.0,1.8,,,,,,6000.0,1915-06-15,1
elephant_butte,storage,1916,352,1915-1925 table,medium,2643179.0,959113.0,701526.0,358794.0,1916-11-24,36.3,26.5,13.6,,,,,,4060.0,1916-06-08,93
elephant_butte,storage,1917,315,1915-1925 table,medium,2643179.0,1034157.0,753769.0,517978.0,1917-07-12,39.1,28.5,19.6,,,,,1305277.0,3200.0,1917-07-29,365
elephant_butte,storage,1918,336,1915-1925 table,medium,2643179.0,572553.0,373496.0,170904.0,1918-02-15,21.7,14.1,6.5,,,,,696133.0,2020.0,1918-02-18,365
elephant_butte,storage,1919,365,1915-1925 table,medium,2643179.0,1137970.0,754759.0,222813.0,1919-08-06,43.1,28.6,8.4,,,,,674257.0,2320.0,1919-05-07,365
elephant_butte,storage,1920,366,1915-1925 table,medium,2643179.0,2147029.0,1572985.0,1034998.0,1920-07-12,81.2,59.5,39.2,,,,,881322.0,2170.0,1920-08-06,366
elephant_butte,storage,1921,365,1915-1925 table,medium,2643179.0,2098302.0,1851969.0,1622127.0,1921-08-04,79.4,70.1,61.4,,,,,980087.0,2400.0,1921-06-23,365
elephant_butte,storage,1922,365,1915-1925 table,medium,2643179.0,1993613.0,1731705.0,1441084.0,1922-06-27,75.4,65.5,54.5,,,,,999215.0,3000.0,1922-08-08,365
elephant_butte,storage,1923,365,1915-1925 table,medium,2643179.0,1561779.0,1437599.0,1321406.0,1923-12-30,59.1,54.4,50.0,,,,,844600.0,2440.0,1923-08-06,365
elephant_butte,storage,1924,366,1915-1925 table,medium,2643179.0,2215676.0,1796808.0,1564653.0,1924-06-04,83.8,68.0,59.2,,,,,1002736.0,3270.0,1924-08-14,366
elephant_butte,storage,1925,365,1915-1925 table,medium,2643179.0,1670980.0,1323672.0,950792.0,1925-01-01,63.2,50.1,36.0,,,,,817418.0,2750.0,1925-07-24,365
elephant_butte,storage,1926,365,1925-1934 table,medium,2383496.0,1442307.0,1144440.0,984580.0,1926-06-19,60.5,48.0,41.3,,,,,761895.0,2580.0,1926-05-21,365
elephant_butte,storage,1927,365,1925-1934 table,medium,2383496.0,1383988.0,1223207.0,1080814.0,1927-12-30,58.1,51.3,45.3,,,,,881060.0,2660.0,1927-07-23,365
elephant_butte,storage,1928,366,1925-1934 table,medium,2383496.0,1468817.0,1233447.0,969428.0,1928-06-10,61.6,51.7,40.7,,,,,835438.0,2420.0,1928-04-18,366
elephant_butte,storage,1929,365,1925-1934 table,medium,2383496.0,1541233.0,1140351.0,895571.0,1929-12-31,64.7,47.8,37.6,,,,,701859.0,2310.0,1929-04-14,365
elephant_butte,storage,1930,365,1925-1934 table,medium,2383496.0,1629246.0,1455599.0,1243491.0,1930-05-09,68.4,61.1,52.2,,,,,793392.0,2620.0,1930-08-23,365
elephant_butte,storage,1931,365,1925-1934 table,medium,2383496.0,1338892.0,1087642.0,820635.0,1931-03-04,56.2,45.6,34.4,,,,,750859.0,2520.0,1931-07-30,365
elephant_butte,storage,1932,366,1925-1934 table,medium,2383496.0,1629246.0,1301345.0,923976.0,1932-07-06,68.4,54.6,38.8,,,,,831790.0,2520.0,1932-07-27,366
elephant_butte,storage,1933,365,1925-1934 table,medium,2383496.0,1437007.0,1262925.0,1102084.0,1933-02-03,60.3,53.0,46.2,,,,,826324.0,2550.0,1933-07-13,365
elephant_butte,storage,1934,365,1925-1934 table,medium,2383496.0,1168026.0,791850.0,492171.0,1934-02-02,49.0,33.2,20.6,,,,,803933.0,2550.0,1934-07-14,365
