reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct,flood_pool_af,peak_flood_pct,days_flood_storage,inflow_af,peak_inflow_cfs,peak_inflow_date,n_days_inflow,release_af,peak_release_cfs,peak_release_date,n_days_release
galisteo,dry_flood,1983,92,published pool capacity,published_pool,89468.0,0.0,0.0,0.0,1983-10-01,0.0,0.0,0.0,89468.0,0.0,0,,,,,,4.0,1983-10-02,92
galisteo,dry_flood,1984,366,published pool capacity,published_pool,89468.0,49.0,0.0,0.0,1984-06-19,0.1,0.0,0.0,89468.0,0.1,1,,,,,3513.0,406.0,1984-08-24,366
galisteo,dry_flood,1985,365,published pool capacity,published_pool,89468.0,0.0,0.0,0.0,1985-01-01,0.0,0.0,0.0,89468.0,0.0,0,,,,,8435.0,460.0,1985-10-11,365
galisteo,dry_flood,1986,365,published pool capacity,published_pool,89468.0,0.0,0.0,0.0,1986-01-01,0.0,0.0,0.0,89468.0,0.0,0,,,,,5956.0,492.0,1986-10-18,365
galisteo,dry_flood,1987,365,published pool capacity,published_pool,89468.0,0.0,0.0,0.0,1987-01-01,0.0,0.0,0.0,89468.0,0.0,0,,,,,1508.0,28.0,1987-01-28,365
galisteo,dry_flood,1988,366,published pool capacity,published_pool,89468.0,0.0,0.0,0.0,1988-01-01,0.0,0.0,0.0,89468.0,0.0,0,,,,,5697.0,456.0,1988-07-08,366
galisteo,dry_flood,1989,365,published pool capacity,published_pool,89468.0,0.0,0.0,0.0,1989-01-01,0.0,0.0,0.0,89468.0,0.0,0,,,,,4225.0,508.0,1989-07-22,365
galisteo,dry_flood,1990,365,published pool capacity,published_pool,89468.0,0.0,0.0,0.0,1990-01-01,0.0,0.0,0.0,89468.0,0.0,0,,,,,4646.0,549.0,1990-07-22,365
galisteo,dry_flood,1991,365,published pool capacity,published_pool,89468.0,0.0,0.0,0.0,1991-01-01,0.0,0.0,0.0,89468.0,0.0,0,,,,,7753.0,548.0,1991-08-06,365
galisteo,dry_flood,1992,366,published pool capacity,published_pool,89468.0,0.0,0.0,0.0,1992-01-01,0.0,0.0,0.0,89468.0,0.0,0,,,,,2884.0,220.0,1992-06-21,366
galisteo,dry_flood,1993,365,published pool capacity,published_pool,89468.0,0.0,0.0,0.0,1993-01-01,0.0,0.0,0.0,89468.0,0.0,0,,,,,4368.0,124.0,1993-07-20,365
