reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct,flood_pool_af,peak_flood_pct,days_flood_storage,inflow_af,peak_inflow_cfs,peak_inflow_date,n_days_inflow,release_af,peak_release_cfs,peak_release_date,n_days_release
lake_sumner,flood_control,1965,92,earliest derived table (no elevation record yet),before_elevation_record,51135.0,45450.0,41526.0,36100.0,1965-12-31,88.9,81.2,70.6,147078.0,30.9,0,,,,,,100.0,1965-10-14,92
lake_sumner,flood_control,1966,365,earliest derived table (no elevation record yet),before_elevation_record,51135.0,65960.0,41926.0,2520.0,1966-12-31,129.0,82.0,4.9,147078.0,44.8,146,,,,,127734.0,1290.0,1966-06-25,365
lake_sumner,flood_control,1967,365,earliest derived table (no elevation record yet),before_elevation_record,51135.0,72060.0,51561.0,10800.0,1967-03-02,140.9,100.8,21.1,147078.0,49.0,232,,,,,113687.0,1050.0,1967-08-09,365
lake_sumner,flood_control,1968,366,earliest derived table (no elevation record yet),before_elevation_record,51135.0,74580.0,54292.0,19520.0,1968-03-15,145.8,106.2,38.2,147078.0,50.7,222,,,,,111496.0,1070.0,1968-03-18,366
lake_sumner,flood_control,1969,365,earliest derived table (no elevation record yet),before_elevation_record,51135.0,74740.0,51891.0,3490.0,1969-12-31,146.2,101.5,6.8,147078.0,50.8,171,,,,,170205.0,1230.0,1969-08-05,365
lake_sumner,flood_control,1970,365,earliest derived table (no elevation record yet),before_elevation_record,51135.0,85290.0,58859.0,27440.0,1970-04-05,166.8,115.1,53.7,147078.0,58.0,157,,,,,121276.0,1070.0,1970-05-24,365
lake_sumner,flood_control,1971,365,earliest derived table (no elevation record yet),before_elevation_record,51135.0,59770.0,33782.0,4630.0,1971-02-28,116.9,66.1,9.1,147078.0,40.6,84,,,,,105770.0,1110.0,1971-08-13,365
lake_sumner,flood_control,1972,349,earliest derived table (no elevation record yet),before_elevation_record,51135.0,80170.0,36800.0,3680.0,1972-12-31,156.8,72.0,7.2,147078.0,54.5,119,,,,,112573.0,1110.0,1972-04-07,366
lake_sumner,flood_control,1973,356,1973-1981 table,high,51135.0,112400.0,98241.0,80520.0,1973-04-17,219.8,192.1,157.5,147078.0,76.4,356,,,,,213466.0,1980.0,1973-05-15,365
lake_sumner,flood_control,1974,365,1973-1981 table,high,51135.0,102200.0,46384.0,3280.0,1974-03-08,199.9,90.7,6.4,147078.0,69.5,139,,,,,139489.0,1150.0,1974-03-16,365
lake_sumner,flood_control,1975,365,1973-1981 table,high,51135.0,63340.0,32862.0,4000.0,1975-06-04,123.9,64.3,7.8,147078.0,43.1,40,,,,,97527.0,1140.0,1975-06-18,365
