reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct
maloya,municipal,1987,92,dam registry normal storage,owner_reported,3690.0,3530.0,3469.0,3430.0,1987-12-29,95.7,94.0,93.0
maloya,municipal,1988,366,dam registry normal storage,owner_reported,3690.0,3830.0,3624.0,3510.0,1988-05-24,103.8,98.2,95.1
maloya,municipal,1989,365,dam registry normal storage,owner_reported,3690.0,3700.0,3339.0,2830.0,1989-03-28,100.3,90.5,76.7
maloya,municipal,1990,365,dam registry normal storage,owner_reported,3690.0,3700.0,2800.0,2260.0,1990-05-13,100.3,75.9,61.2
maloya,municipal,1991,365,dam registry normal storage,owner_reported,3690.0,2530.0,2329.0,2220.0,1991-05-06,68.6,63.1,60.2
maloya,municipal,1992,366,dam registry normal storage,owner_reported,3690.0,3750.0,3400.0,2430.0,1992-04-13,101.6,92.1,65.9
maloya,municipal,1993,365,dam registry normal storage,owner_reported,3690.0,3820.0,3682.0,3580.0,1993-04-29,103.5,99.8,97.0
maloya,municipal,1994,365,dam registry normal storage,owner_reported,3690.0,3770.0,3484.0,3160.0,1994-04-18,102.2,94.4,85.6
maloya,municipal,1995,365,dam registry normal storage,owner_reported,3690.0,3930.0,3602.0,3210.0,1995-05-29,106.5,97.6,87.0
maloya,municipal,1996,366,dam registry normal storage,owner_reported,3690.0,3730.0,3556.0,3320.0,1996-04-17,101.1,96.4,90.0
maloya,municipal,1997,365,dam registry normal storage,owner_reported,3690.0,3790.0,3607.0,3320.0,1997-04-24,102.7,97.8,90.0
maloya,municipal,1998,365,dam registry normal storage,owner_reported,3690.0,3790.0,3555.0,3250.0,1998-03-26,102.7,96.3,88.1
maloya,municipal,1999,365,dam registry normal storage,owner_reported,3690.0,3820.0,3559.0,3240.0,1999-05-02,103.5,96.4,87.8
maloya,municipal,2000,366,dam registry normal storage,owner_reported,3690.0,3750.0,3496.0,3200.0,2000-04-06,101.6,94.7,86.7
maloya,municipal,2001,365,dam registry normal storage,owner_reported,3690.0,3720.0,3393.0,3240.0,2001-04-02,100.8,91.9,87.8
maloya,municipal,2002,365,dam registry normal storage,owner_reported,3690.0,3340.0,3245.0,3140.0,2002-01-01,90.5,87.9,85.1
maloya,municipal,2003,365,dam registry normal storage,owner_reported,3690.0,3818.0,3504.0,3263.0,2003-04-23,103.5,94.9,88.4
maloya,municipal,2004,366,dam registry normal storage,owner_reported,3690.0,3756.0,3574.0,3360.0,2004-05-04,101.8,96.9,91.1
maloya,municipal,2005,365,dam registry normal storage,owner_reported,3690.0,3870.0,3711.0,3661.0,2005-04-19,104.9,100.6,99.2
maloya,municipal,2006,365,dam registry normal storage,owner_reported,3690.0,3691.0,3531.0,3347.0,2006-03-08,100.0,95.7,90.7
maloya,municipal,2007,365,dam registry normal storage,owner_reported,3690.0,3755.0,3643.0,3499.0,2007-03-23,101.8,98.7,94.8
maloya,municipal,2008,366,dam registry normal storage,owner_reported,3690.0,3734.0,3599.0,3376.0,2008-04-19,101.2,97.5,91.5
maloya,municipal,2009,365,dam registry normal storage,owner_reported,3690.0,3755.0,3606.0,3395.0,2009-04-15,101.8,97.7,92.0
maloya,municipal,2010,365,dam registry normal storage,owner_reported,3690.0,3949.0,3533.0,3341.0,2010-04-13,107.0,95.7,90.5
maloya,municipal,2011,365,dam registry normal storage,owner_reported,3690.0,3338.0,3253.0,3100.0,2011-01-01,90.5,88.2,84.0
maloya,municipal,2012,366,dam registry normal storage,owner_reported,3690.0,3757.0,3362.0,3066.0,2012-04-06,101.8,91.1,83.1
maloya,municipal,2013,365,dam registry normal storage,owner_reported,3690.0,3376.0,3255.0,3055.0,2013-08-22,91.5,88.2,82.8
maloya,municipal,2014,365,dam registry normal storage,owner_reported,3690.0,3548.0,3339.0,3165.0,2014-06-13,96.2,90.5,85.8
maloya,municipal,2015,365,dam registry normal storage,owner_reported,3690.0,3856.0,3624.0,3280.0,2015-05-19,104.5,98.2,88.9
maloya,municipal,2016,350,dam registry normal storage,owner_reported,3690.0,3752.0,3618.0,3349.0,2016-05-04,101.7,98.0,90.8
maloya,municipal,2017,361,dam registry normal storage,owner_reported,3690.0,3838.0,3620.0,3348.0,2017-05-11,104.0,98.1,90.7
maloya,municipal,2018,365,dam registry normal storage,owner_reported,3690.0,3672.0,3321.0,2945.0,2018-02-20,99.5,90.0,79.8
maloya,municipal,2019,365,dam registry normal storage,owner_reported,3690.0,3754.0,3452.0,3062.0,2019-05-12,101.7,93.5,83.0
maloya,municipal,2020,366,dam registry normal storage,owner_reported,3690.0,3492.0,3259.0,3044.0,2020-03-30,94.6,88.3,82.5
maloya,municipal,2021,365,dam registry normal storage,owner_reported,3690.0,3756.0,3439.0,3114.0,2021-05-31,101.8,93.2,84.4
maloya,municipal,2022,365,dam registry normal storage,owner_reported,3690.0,3680.0,3468.0,3304.0,2022-04-06,99.7,94.0,89.5
maloya,municipal,2023,365,dam registry normal storage,owner_reported,3690.0,3736.0,3522.0,3327.0,2023-06-05,101.2,95.5,90.2
maloya,municipal,2024,366,dam registry normal storage,owner_reported,3690.0,3720.0,3573.0,3307.0,2024-04-05,100.8,96.8,89.6
maloya,municipal,2025,365,dam registry normal storage,owner_reported,3690.0,3746.0,3676.0,3629.0,2025-05-08,101.5,99.6,98.3
maloya,municipal,2026,264,dam registry normal storage,owner_reported,3690.0,3664.0,3597.0,3386.0,2026-05-29,99.3,97.5,91.8
