reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct
mcclure,municipal,1965,92,dam registry normal storage,owner_reported,3282.0,3110.0,2861.0,2760.0,1965-10-01,94.8,87.2,84.1
mcclure,municipal,1966,365,dam registry normal storage,owner_reported,3282.0,3120.0,2765.0,2020.0,1966-05-08,95.1,84.2,61.5
mcclure,municipal,1967,365,dam registry normal storage,owner_reported,3282.0,2010.0,1464.0,436.0,1967-01-01,61.2,44.6,13.3
mcclure,municipal,1968,366,dam registry normal storage,owner_reported,3282.0,3030.0,2195.0,1600.0,1968-09-04,92.3,66.9,48.8
mcclure,municipal,1969,365,dam registry normal storage,owner_reported,3282.0,3110.0,2320.0,1820.0,1969-05-22,94.8,70.7,55.5
mcclure,municipal,1970,365,dam registry normal storage,owner_reported,3282.0,1810.0,1268.0,1010.0,1970-01-01,55.1,38.6,30.8
mcclure,municipal,1971,365,dam registry normal storage,owner_reported,3282.0,1010.0,641.0,232.0,1971-01-01,30.8,19.5,7.1
mcclure,municipal,1972,366,dam registry normal storage,owner_reported,3282.0,1480.0,943.0,378.0,1972-04-04,45.1,28.7,11.5
mcclure,municipal,1973,365,dam registry normal storage,owner_reported,3282.0,2670.0,2064.0,1030.0,1973-05-12,81.4,62.9,31.4
mcclure,municipal,1974,365,dam registry normal storage,owner_reported,3282.0,2110.0,1728.0,1380.0,1974-05-19,64.3,52.7,42.0
mcclure,municipal,1975,365,dam registry normal storage,owner_reported,3282.0,2640.0,2431.0,1800.0,1975-04-23,80.4,74.1,54.8
mcclure,municipal,1976,366,dam registry normal storage,owner_reported,3282.0,2640.0,2374.0,2230.0,1976-05-21,80.4,72.3,67.9
mcclure,municipal,1977,365,dam registry normal storage,owner_reported,3282.0,2560.0,2245.0,1970.0,1977-05-25,78.0,68.4,60.0
mcclure,municipal,1978,365,dam registry normal storage,owner_reported,3282.0,2640.0,1945.0,1270.0,1978-06-05,80.4,59.3,38.7
mcclure,municipal,1979,365,dam registry normal storage,owner_reported,3282.0,2690.0,1827.0,1140.0,1979-06-08,82.0,55.7,34.7
mcclure,municipal,1980,366,dam registry normal storage,owner_reported,3282.0,2650.0,1802.0,1040.0,1980-05-06,80.7,54.9,31.7
mcclure,municipal,1981,365,dam registry normal storage,owner_reported,3282.0,1250.0,995.0,819.0,1981-05-07,38.1,30.3,25.0
mcclure,municipal,1982,365,dam registry normal storage,owner_reported,3282.0,2390.0,1445.0,823.0,1982-10-03,72.8,44.0,25.1
mcclure,municipal,1983,365,dam registry normal storage,owner_reported,3282.0,2660.0,2179.0,1400.0,1983-04-25,81.0,66.4,42.7
mcclure,municipal,1984,366,dam registry normal storage,owner_reported,3282.0,2660.0,1921.0,1230.0,1984-05-21,81.0,58.5,37.5
mcclure,municipal,1985,365,dam registry normal storage,owner_reported,3282.0,2690.0,2415.0,1530.0,1985-04-28,82.0,73.6,46.6
mcclure,municipal,1986,365,dam registry normal storage,owner_reported,3282.0,2700.0,2534.0,2260.0,1986-11-14,82.3,77.2,68.9
mcclure,municipal,1987,365,dam registry normal storage,owner_reported,3282.0,2680.0,1933.0,758.0,1987-05-16,81.7,58.9,23.1
mcclure,municipal,1988,366,dam registry normal storage,owner_reported,3282.0,1570.0,1094.0,550.0,1988-09-12,47.8,33.3,16.8
mcclure,municipal,1989,365,dam registry normal storage,owner_reported,3282.0,1520.0,902.0,469.0,1989-05-08,46.3,27.5,14.3
mcclure,municipal,1990,365,dam registry normal storage,owner_reported,3282.0,2100.0,1449.0,547.0,1990-05-29,64.0,44.1,16.7
mcclure,municipal,1991,365,dam registry normal storage,owner_reported,3282.0,2860.0,2298.0,1200.0,1991-07-26,87.1,70.0,36.6
mcclure,municipal,1992,366,dam registry normal storage,owner_reported,3282.0,2860.0,2341.0,1390.0,1992-04-12,87.1,71.3,42.4
mcclure,municipal,1993,365,dam registry normal storage,owner_reported,3282.0,2870.0,2207.0,1430.0,1993-05-20,87.4,67.2,43.6
mcclure,municipal,1994,365,dam registry normal storage,owner_reported,3282.0,2860.0,1977.0,937.0,1994-05-13,87.1,60.2,28.5
mcclure,municipal,1995,365,dam registry normal storage,owner_reported,3282.0,3280.0,2376.0,1720.0,1995-06-18,99.9,72.4,52.4
mcclure,municipal,1996,366,dam registry normal storage,owner_reported,3282.0,1930.0,1129.0,485.0,1996-03-31,58.8,34.4,14.8
mcclure,municipal,1997,365,dam registry normal storage,owner_reported,3282.0,3280.0,2274.0,1190.0,1997-06-07,99.9,69.3,36.3
mcclure,municipal,1998,365,dam registry normal storage,owner_reported,3282.0,3190.0,2195.0,1670.0,1998-06-11,97.2,66.9,50.9
mcclure,municipal,1999,365,dam registry normal storage,owner_reported,3282.0,3260.0,2608.0,2160.0,1999-08-13,99.3,79.5,65.8
mcclure,municipal,2000,366,dam registry normal storage,owner_reported,3282.0,2510.0,1371.0,324.0,2000-02-04,76.5,41.8,9.9
mcclure,municipal,2001,365,dam registry normal storage,owner_reported,3282.0,3260.0,1767.0,685.0,2001-05-17,99.3,53.9,20.9
mcclure,municipal,2002,365,dam registry normal storage,owner_reported,3282.0,894.0,609.0,377.0,2002-03-15,27.2,18.6,11.5
mcclure,municipal,2003,365,dam registry normal storage,owner_reported,3282.0,2792.0,1653.0,758.0,2003-06-21,85.1,50.4,23.1
mcclure,municipal,2004,366,dam registry normal storage,owner_reported,3282.0,3263.0,2198.0,1537.0,2004-06-02,99.4,67.0,46.8
mcclure,municipal,2005,365,dam registry normal storage,owner_reported,3282.0,3260.0,2328.0,1696.0,2005-05-26,99.3,70.9,51.7
mcclure,municipal,2006,365,dam registry normal storage,owner_reported,3282.0,3260.0,2394.0,1802.0,2006-08-23,99.3,72.9,54.9
mcclure,municipal,2007,365,dam registry normal storage,owner_reported,3282.0,3267.0,2755.0,2168.0,2007-03-27,99.5,83.9,66.1
mcclure,municipal,2008,366,dam registry normal storage,owner_reported,3282.0,3174.0,2499.0,1729.0,2008-06-13,96.7,76.1,52.7
mcclure,municipal,2009,365,dam registry normal storage,owner_reported,3282.0,3250.0,2367.0,1541.0,2009-05-13,99.0,72.1,47.0
mcclure,municipal,2010,365,dam registry normal storage,owner_reported,3282.0,3249.0,2120.0,1529.0,2010-05-24,99.0,64.6,46.6
mcclure,municipal,2011,365,dam registry normal storage,owner_reported,3282.0,1600.0,1132.0,828.0,2011-01-01,48.8,34.5,25.2
mcclure,municipal,2012,366,dam registry normal storage,owner_reported,3282.0,2045.0,1114.0,631.0,2012-05-13,62.3,33.9,19.2
mcclure,municipal,2013,365,dam registry normal storage,owner_reported,3282.0,2836.0,1376.0,640.0,2013-10-01,86.4,41.9,19.5
mcclure,municipal,2014,365,dam registry normal storage,owner_reported,3282.0,2532.0,971.0,0.0,2014-01-01,77.1,29.6,0.0
mcclure,municipal,2015,365,dam registry normal storage,owner_reported,3282.0,164.0,7.0,0.0,2015-12-31,5.0,0.2,0.0
mcclure,municipal,2016,365,dam registry normal storage,owner_reported,3282.0,2250.0,968.0,170.0,2016-05-31,68.6,29.5,5.2
mcclure,municipal,2017,365,dam registry normal storage,owner_reported,3282.0,2211.0,1284.0,446.0,2017-05-24,67.4,39.1,13.6
mcclure,municipal,2018,365,dam registry normal storage,owner_reported,3282.0,1578.0,984.0,464.0,2018-12-20,48.1,30.0,14.1
mcclure,municipal,2019,358,dam registry normal storage,owner_reported,3282.0,3249.0,1818.0,836.0,2019-06-20,99.0,55.4,25.5
mcclure,municipal,2020,361,dam registry normal storage,owner_reported,3282.0,2595.0,1353.0,713.0,2020-05-25,79.1,41.2,21.7
mcclure,municipal,2021,365,dam registry normal storage,owner_reported,3282.0,1132.0,624.0,279.0,2021-08-18,34.5,19.0,8.5
mcclure,municipal,2022,365,dam registry normal storage,owner_reported,3282.0,1474.0,807.0,273.0,2022-09-05,44.9,24.6,8.3
mcclure,municipal,2023,365,dam registry normal storage,owner_reported,3282.0,3201.0,1739.0,348.0,2023-06-16,97.5,53.0,10.6
mcclure,municipal,2024,366,dam registry normal storage,owner_reported,3282.0,2068.0,1374.0,188.0,2024-11-20,63.0,41.9,5.7
mcclure,municipal,2025,365,dam registry normal storage,owner_reported,3282.0,2603.0,1577.0,1201.0,2025-09-04,79.3,48.1,36.6
mcclure,municipal,2026,265,dam registry normal storage,owner_reported,3282.0,1509.0,1040.0,389.0,2026-04-24,46.0,31.7,11.9
