reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct,inflow_af,peak_inflow_cfs,peak_inflow_date,n_days_inflow,release_af,peak_release_cfs,peak_release_date,n_days_release
nambe_falls,storage,1974,1,earliest derived table (no elevation record yet),before_elevation_record,2167.0,999.0,999.0,999.0,1974-12-31,46.1,46.1,46.1,,,,,,,,
nambe_falls,storage,1975,1,earliest derived table (no elevation record yet),before_elevation_record,2167.0,999.0,999.0,999.0,1975-12-31,46.1,46.1,46.1,,,,,,,,
nambe_falls,storage,1976,1,earliest derived table (no elevation record yet),before_elevation_record,2167.0,999.0,999.0,999.0,1976-12-31,46.1,46.1,46.1,,,,,,,,
nambe_falls,storage,1977,1,earliest derived table (no elevation record yet),before_elevation_record,2167.0,654.0,654.0,654.0,1977-12-31,30.2,30.2,30.2,,,,,,,,
nambe_falls,storage,1978,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2033.0,1125.0,657.0,1978-06-06,93.8,51.9,30.3,,,,,,,,
nambe_falls,storage,1979,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2059.0,1620.0,1190.0,1979-06-08,95.0,74.8,54.9,,,,,16720.0,236.0,1979-06-09,365.0
nambe_falls,storage,1980,366,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2041.0,1534.0,840.0,1980-06-11,94.2,70.8,38.8,,,,,10079.0,79.0,1980-06-11,366.0
nambe_falls,storage,1981,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,1598.0,918.0,384.0,1981-05-04,73.7,42.4,17.7,,,,,3651.0,29.0,1981-07-08,365.0
nambe_falls,storage,1982,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,1975.0,1178.0,664.0,1982-12-01,91.1,54.4,30.6,,,,,4529.0,31.0,1982-08-21,365.0
nambe_falls,storage,1983,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2050.0,1989.0,1914.0,1983-06-11,94.6,91.8,88.3,,,,,,109.0,1983-06-01,273.0
nambe_falls,storage,1984,366,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2040.0,1705.0,1110.0,1984-05-12,94.1,78.7,51.2,,,,,11805.0,111.0,1984-05-16,366.0
nambe_falls,storage,1985,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2040.0,1927.0,1420.0,1985-04-29,94.1,88.9,65.5,,,,,19529.0,112.0,1985-06-10,365.0
nambe_falls,storage,1986,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2030.0,1986.0,1820.0,1986-05-28,93.7,91.7,84.0,,,,,14425.0,77.0,1986-07-23,365.0
nambe_falls,storage,1987,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2050.0,1814.0,1420.0,1987-06-11,94.6,83.7,65.5,,,,,14048.0,89.0,1987-06-09,365.0
nambe_falls,storage,1988,366,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2030.0,1994.0,1870.0,1988-05-19,93.7,92.0,86.3,,,,,11491.0,67.0,1988-09-01,366.0
nambe_falls,storage,1989,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2020.0,1451.0,884.0,1989-03-13,93.2,67.0,40.8,,,,,6138.0,40.0,1989-05-06,365.0
nambe_falls,storage,1990,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2030.0,1554.0,961.0,1990-05-29,93.7,71.7,44.3,,,,,6477.0,40.0,1990-06-27,365.0
nambe_falls,storage,1991,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2050.0,1959.0,1620.0,1991-05-21,94.6,90.4,74.8,,,,,12467.0,72.0,1991-05-24,365.0
nambe_falls,storage,1992,366,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2040.0,1768.0,1230.0,1992-05-03,94.1,81.6,56.8,,,,,14947.0,93.0,1992-05-24,366.0
nambe_falls,storage,1993,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2040.0,1810.0,1510.0,1993-05-21,94.1,83.5,69.7,,,,,12041.0,104.0,1993-06-01,365.0
nambe_falls,storage,1994,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2040.0,1660.0,990.0,1994-05-20,94.1,76.6,45.7,,,,,11917.0,109.0,1994-06-04,365.0
nambe_falls,storage,1995,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2040.0,1618.0,1120.0,1995-05-23,94.1,74.7,51.7,,,,,10458.0,76.0,1995-06-17,365.0
nambe_falls,storage,1996,366,earliest derived table (no elevation record yet),before_elevation_record,2167.0,1940.0,1152.0,429.0,1996-03-25,89.5,53.2,19.8,,,,,4732.0,40.0,1996-08-10,366.0
nambe_falls,storage,1997,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2040.0,1683.0,1190.0,1997-05-19,94.1,77.7,54.9,,,,,10693.0,78.0,1997-06-09,365.0
nambe_falls,storage,1998,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2040.0,1701.0,1060.0,1998-06-03,94.1,78.5,48.9,,,,,9629.0,47.0,1998-05-29,365.0
nambe_falls,storage,1999,365,earliest derived table (no elevation record yet),before_elevation_record,2167.0,2040.0,1836.0,1510.0,1999-05-27,94.1,84.7,69.7,,,,,9671.0,68.0,1999-07-07,365.0
nambe_falls,storage,2000,366,1999-2000 table,high,2167.0,2025.0,1432.0,926.0,2000-04-30,93.4,66.1,42.7,,,,,4816.0,26.0,2000-06-12,366.0
nambe_falls,storage,2001,365,2001-2020 table,high,2044.0,2040.0,1467.0,873.0,2001-05-18,99.8,71.8,42.7,,,,,7159.0,58.0,2001-05-21,365.0
nambe_falls,storage,2002,365,2001-2020 table,high,2044.0,1630.0,1036.0,674.0,2002-05-01,79.7,50.7,33.0,,,,,2374.0,21.0,2002-05-14,365.0
nambe_falls,storage,2003,365,2001-2020 table,high,2044.0,2026.0,1114.0,449.0,2003-06-05,99.1,54.5,22.0,,,,,6003.0,36.0,2003-07-08,365.0
nambe_falls,storage,2004,366,2001-2020 table,high,2044.0,1818.0,854.0,452.0,2004-05-30,88.9,41.8,22.1,,,,,4822.0,26.0,2004-06-11,366.0
nambe_falls,storage,2005,365,2001-2020 table,high,2044.0,2047.0,1640.0,878.0,2005-05-23,100.1,80.2,43.0,,,,,11285.0,102.0,2005-05-25,365.0
nambe_falls,storage,2006,365,2001-2020 table,high,2044.0,2022.0,1405.0,814.0,2006-04-04,98.9,68.7,39.8,,,,,4584.0,29.0,2006-06-23,365.0
nambe_falls,storage,2007,365,2001-2020 table,high,2044.0,2034.0,1634.0,952.0,2007-05-19,99.5,79.9,46.6,,,,,7952.0,57.0,2007-07-03,365.0
nambe_falls,storage,2008,366,2001-2020 table,high,2044.0,2034.0,1744.0,1188.0,2008-05-30,99.5,85.3,58.1,7606.0,43.0,2008-06-02,366.0,7238.0,56.0,2008-07-02,366.0
nambe_falls,storage,2009,365,2001-2020 table,high,2044.0,2036.0,1695.0,1096.0,2009-05-22,99.6,82.9,53.6,7631.0,42.0,2009-05-13,365.0,8494.0,50.0,2009-05-17,365.0
nambe_falls,storage,2010,365,2001-2020 table,high,2044.0,2040.0,1738.0,1193.0,2010-05-29,99.8,85.0,58.4,10552.0,62.0,2010-05-29,365.0,10233.0,62.0,2010-05-28,365.0
nambe_falls,storage,2011,365,2001-2020 table,high,2044.0,2023.0,1355.0,824.0,2011-03-23,99.0,66.3,40.3,4052.0,58.0,2011-08-20,365.0,4233.0,26.0,2011-06-23,365.0
nambe_falls,storage,2012,366,2001-2020 table,high,2044.0,2038.0,1463.0,893.0,2012-04-02,99.7,71.6,43.7,6495.0,44.0,2012-08-06,366.0,6092.0,28.0,2012-06-14,366.0
nambe_falls,storage,2013,365,2001-2020 table,high,2044.0,2094.0,1712.0,1087.0,2013-10-10,102.4,83.8,53.2,6427.0,88.0,2013-09-15,365.0,5775.0,44.0,2013-09-28,365.0
nambe_falls,storage,2014,365,2001-2020 table,high,2044.0,2052.0,1717.0,1053.0,2014-03-14,100.4,84.0,51.5,7157.0,34.0,2014-06-01,365.0,7885.0,56.0,2014-03-14,365.0
nambe_falls,storage,2015,365,2001-2020 table,high,2044.0,2061.0,1642.0,1060.0,2015-04-06,100.8,80.3,51.9,11446.0,82.0,2015-05-19,365.0,10657.0,67.0,2015-05-18,365.0
nambe_falls,storage,2016,366,2001-2020 table,high,2044.0,2041.0,1756.0,1133.0,2016-05-13,99.9,85.9,55.4,8962.0,38.0,2016-06-08,366.0,8800.0,54.0,2016-05-30,366.0
nambe_falls,storage,2017,365,2001-2020 table,high,2044.0,2040.0,1820.0,938.0,2017-03-29,99.8,89.0,45.9,10162.0,42.0,2017-05-16,365.0,10268.0,43.0,2017-05-16,365.0
nambe_falls,storage,2018,365,2001-2020 table,high,2044.0,2025.0,1555.0,879.0,2018-03-22,99.1,76.1,43.0,2896.0,10.0,2018-07-17,365.0,3178.0,31.0,2018-06-21,365.0
nambe_falls,storage,2019,365,2001-2020 table,high,2044.0,2042.0,1760.0,1045.0,2019-06-08,99.9,86.1,51.1,10016.0,55.0,2019-06-09,365.0,9981.0,57.0,2019-06-09,365.0
nambe_falls,storage,2020,366,2001-2020 table,high,2044.0,2035.0,1491.0,758.0,2020-05-30,99.6,72.9,37.1,4978.0,27.0,2020-05-18,366.0,5431.0,36.0,2020-07-16,366.0
nambe_falls,storage,2021,365,2021-2023 table,high,1749.0,1731.0,1368.0,1070.0,2021-04-17,99.0,78.2,61.2,4096.0,30.0,2021-08-01,365.0,3471.0,34.0,2021-09-02,365.0
nambe_falls,storage,2022,365,2021-2023 table,high,1749.0,1760.0,1652.0,1276.0,2022-08-21,100.6,94.4,73.0,8962.0,67.0,2022-08-25,365.0,8764.0,68.0,2022-08-25,365.0
nambe_falls,storage,2023,365,2021-2023 table,high,1749.0,1751.0,1385.0,730.0,2023-04-12,100.1,79.2,41.7,12355.0,78.0,2023-05-27,365.0,12583.0,77.0,2023-05-27,365.0
nambe_falls,storage,2024,366,current table,current_table,1663.0,1663.0,1505.0,1226.0,2024-04-20,100.0,90.5,73.7,8422.0,37.0,2024-06-10,366.0,8125.0,47.0,2024-06-06,366.0
nambe_falls,storage,2025,365,current table,current_table,1663.0,1651.0,1509.0,1133.0,2025-06-24,99.3,90.7,68.1,6469.0,35.0,2025-05-14,365.0,6365.0,34.0,2025-05-14,365.0
nambe_falls,storage,2026,264,current table,current_table,1663.0,1649.0,1297.0,855.0,2026-04-01,99.2,78.0,51.4,,19.0,2026-09-18,264.0,,20.0,2026-05-18,264.0
