reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct,inflow_af,peak_inflow_cfs,peak_inflow_date,n_days_inflow,release_af,peak_release_cfs,peak_release_date,n_days_release
navajo,storage,1962,184,1962-1963 table,low,1711638.0,57380.0,32856.0,4200.0,1962-12-31,3.4,1.9,0.2,,1785.0,1962-07-02,183,,694.0,1962-07-24,184
navajo,storage,1963,365,1962-1963 table,low,1711638.0,369061.0,265241.0,57380.0,1963-10-03,21.6,15.5,3.4,548722.0,3124.0,1963-05-09,365,232516.0,1290.0,1963-04-13,365
navajo,storage,1964,366,1964-1965 table,low,1709715.0,498482.0,387066.0,313216.0,1964-06-11,29.2,22.6,18.3,568360.0,4455.0,1964-05-23,366,436758.0,2050.0,1964-06-18,366
navajo,storage,1965,365,1964-1965 table,low,1709715.0,841595.0,538070.0,234651.0,1965-08-03,49.2,31.5,13.7,1485049.0,8891.0,1965-06-20,365,1513353.0,6420.0,1965-06-21,365
navajo,storage,1966,365,1966-1968 table,low,1708477.0,505807.0,381583.0,194283.0,1966-08-24,29.6,22.3,11.4,943903.0,5612.0,1966-05-10,365,960656.0,3180.0,1966-05-07,365
navajo,storage,1967,365,1966-1968 table,low,1708477.0,638307.0,506745.0,345044.0,1967-08-14,37.4,29.7,20.2,613382.0,3969.0,1967-06-06,365,401972.0,1810.0,1967-08-19,365
navajo,storage,1968,366,1966-1968 table,low,1708477.0,1032001.0,812902.0,575533.0,1968-08-26,60.4,47.6,33.7,801652.0,5505.0,1968-06-06,366,391999.0,1700.0,1968-05-08,366
navajo,storage,1969,365,1969-1971 table,low,1704075.0,1163893.0,1035520.0,808545.0,1969-08-06,68.3,60.8,47.4,1197379.0,6390.0,1969-05-23,365,1103032.0,2030.0,1969-02-11,365
navajo,storage,1970,365,1969-1971 table,low,1704075.0,1266240.0,1066620.0,857647.0,1970-09-23,74.3,62.6,50.3,849893.0,15397.0,1970-09-06,365,816547.0,2060.0,1970-12-20,365
navajo,storage,1971,365,1969-1971 table,low,1704075.0,1045600.0,952609.0,813966.0,1971-01-01,61.4,55.9,47.8,579901.0,2858.0,1971-10-01,365,618238.0,2710.0,1971-02-24,365
