reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct
nichols,municipal,1965,92,dam registry normal storage,owner_reported,679.0,701.0,688.0,634.0,1965-12-09,103.2,101.4,93.4
nichols,municipal,1966,365,dam registry normal storage,owner_reported,679.0,704.0,532.0,250.0,1966-05-09,103.7,78.3,36.8
nichols,municipal,1967,365,dam registry normal storage,owner_reported,679.0,571.0,374.0,229.0,1967-08-18,84.1,55.1,33.7
nichols,municipal,1968,366,dam registry normal storage,owner_reported,679.0,692.0,425.0,229.0,1968-08-02,101.9,62.6,33.7
nichols,municipal,1969,365,dam registry normal storage,owner_reported,679.0,704.0,472.0,306.0,1969-05-16,103.7,69.5,45.1
nichols,municipal,1970,365,dam registry normal storage,owner_reported,679.0,528.0,350.0,229.0,1970-06-17,77.8,51.5,33.7
nichols,municipal,1971,365,dam registry normal storage,owner_reported,679.0,640.0,420.0,212.0,1971-10-21,94.3,61.9,31.2
nichols,municipal,1972,366,dam registry normal storage,owner_reported,679.0,561.0,340.0,194.0,1972-01-01,82.6,50.0,28.6
nichols,municipal,1973,365,dam registry normal storage,owner_reported,679.0,719.0,534.0,246.0,1973-05-11,105.9,78.6,36.2
nichols,municipal,1974,365,dam registry normal storage,owner_reported,679.0,477.0,316.0,243.0,1974-01-01,70.3,46.5,35.8
nichols,municipal,1975,365,dam registry normal storage,owner_reported,679.0,704.0,489.0,127.0,1975-09-12,103.7,72.0,18.7
nichols,municipal,1976,366,dam registry normal storage,owner_reported,679.0,558.0,312.0,194.0,1976-01-01,82.2,46.0,28.6
nichols,municipal,1977,365,dam registry normal storage,owner_reported,679.0,265.0,202.0,115.0,1977-02-28,39.0,29.7,16.9
nichols,municipal,1978,365,dam registry normal storage,owner_reported,679.0,431.0,240.0,87.0,1978-06-17,63.5,35.3,12.8
nichols,municipal,1979,365,dam registry normal storage,owner_reported,679.0,725.0,511.0,208.0,1979-06-09,106.8,75.3,30.6
nichols,municipal,1980,366,dam registry normal storage,owner_reported,679.0,706.0,455.0,196.0,1980-06-10,104.0,67.0,28.9
nichols,municipal,1981,365,dam registry normal storage,owner_reported,679.0,437.0,316.0,206.0,1981-10-23,64.4,46.5,30.3
nichols,municipal,1982,365,dam registry normal storage,owner_reported,679.0,584.0,385.0,232.0,1982-11-08,86.0,56.7,34.2
nichols,municipal,1983,365,dam registry normal storage,owner_reported,679.0,714.0,508.0,288.0,1983-05-29,105.2,74.8,42.4
nichols,municipal,1984,366,dam registry normal storage,owner_reported,679.0,712.0,470.0,352.0,1984-05-24,104.9,69.2,51.8
nichols,municipal,1985,365,dam registry normal storage,owner_reported,679.0,728.0,585.0,328.0,1985-04-28,107.2,86.2,48.3
nichols,municipal,1986,365,dam registry normal storage,owner_reported,679.0,706.0,503.0,263.0,1986-07-23,104.0,74.0,38.7
nichols,municipal,1987,365,dam registry normal storage,owner_reported,679.0,712.0,497.0,92.0,1987-06-09,104.9,73.2,13.5
nichols,municipal,1988,366,dam registry normal storage,owner_reported,679.0,571.0,314.0,105.0,1988-09-15,84.1,46.3,15.5
nichols,municipal,1989,273,dam registry normal storage,owner_reported,679.0,512.0,265.0,109.0,1989-04-10,75.4,39.0,16.1
nichols,municipal,1990,92,dam registry normal storage,owner_reported,679.0,586.0,345.0,215.0,1990-10-01,86.3,50.7,31.7
nichols,municipal,1991,273,dam registry normal storage,owner_reported,679.0,698.0,474.0,172.0,1991-07-26,102.8,69.8,25.3
nichols,municipal,2005,92,dam registry normal storage,owner_reported,679.0,526.0,397.0,202.0,2005-10-20,77.4,58.4,29.7
nichols,municipal,2006,365,dam registry normal storage,owner_reported,679.0,694.0,352.0,202.0,2006-08-24,102.3,51.8,29.8
nichols,municipal,2007,365,dam registry normal storage,owner_reported,679.0,690.0,421.0,168.0,2007-06-12,101.6,62.1,24.8
nichols,municipal,2008,366,dam registry normal storage,owner_reported,679.0,692.0,410.0,136.0,2008-07-16,102.0,60.4,20.0
nichols,municipal,2009,365,dam registry normal storage,owner_reported,679.0,667.0,417.0,197.0,2009-05-30,98.2,61.4,29.1
nichols,municipal,2010,365,dam registry normal storage,owner_reported,679.0,698.0,554.0,310.0,2010-05-25,102.9,81.5,45.6
nichols,municipal,2011,365,dam registry normal storage,owner_reported,679.0,566.0,422.0,190.0,2011-11-08,83.3,62.1,27.9
nichols,municipal,2012,366,dam registry normal storage,owner_reported,679.0,552.0,402.0,209.0,2012-01-01,81.3,59.2,30.7
nichols,municipal,2013,365,dam registry normal storage,owner_reported,679.0,513.0,233.0,0.0,2013-04-25,75.6,34.4,0.0
nichols,municipal,2014,365,dam registry normal storage,owner_reported,679.0,493.0,210.0,0.0,2014-07-21,72.7,30.9,0.0
nichols,municipal,2015,365,dam registry normal storage,owner_reported,679.0,601.0,377.0,78.0,2015-05-22,88.5,55.5,11.5
nichols,municipal,2016,366,dam registry normal storage,owner_reported,679.0,529.0,372.0,296.0,2016-07-26,77.9,54.8,43.5
nichols,municipal,2017,365,dam registry normal storage,owner_reported,679.0,503.0,380.0,302.0,2017-05-04,74.0,56.0,44.5
nichols,municipal,2018,365,dam registry normal storage,owner_reported,679.0,472.0,356.0,254.0,2018-11-06,69.6,52.5,37.3
nichols,municipal,2019,365,dam registry normal storage,owner_reported,679.0,660.0,494.0,322.0,2019-04-08,97.3,72.7,47.4
