reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct,flood_pool_af,peak_flood_pct,days_flood_storage,inflow_af,peak_inflow_cfs,peak_inflow_date,n_days_inflow,release_af,peak_release_cfs,peak_release_date,n_days_release
rocky,dry_flood,1995,92,earliest derived table (no elevation record yet),before_elevation_record,135495.0,0.0,0.0,0.0,1995-10-01,0.0,0.0,0.0,135495.0,0.0,0,,,,,,,,
rocky,dry_flood,1996,366,earliest derived table (no elevation record yet),before_elevation_record,135495.0,1800.0,8.0,0.0,1996-09-13,1.3,0.0,0.0,135495.0,1.3,3,,,,,,,,
rocky,dry_flood,1997,365,earliest derived table (no elevation record yet),before_elevation_record,135495.0,374.0,1.0,0.0,1997-07-31,0.3,0.0,0.0,135495.0,0.3,1,,,,,,,,
rocky,dry_flood,1998,365,earliest derived table (no elevation record yet),before_elevation_record,135495.0,0.0,0.0,0.0,1998-01-01,0.0,0.0,0.0,135495.0,0.0,0,,,,,,,,
rocky,dry_flood,1999,273,current table,current_table,135495.0,0.0,0.0,0.0,1999-01-01,0.0,0.0,0.0,135495.0,0.0,0,,,,,,,,
rocky,dry_flood,2001,92,current table,current_table,135495.0,0.0,0.0,0.0,2001-10-01,0.0,0.0,0.0,135495.0,0.0,0,,,,,,,,
rocky,dry_flood,2002,365,current table,current_table,135495.0,0.0,0.0,0.0,2002-01-01,0.0,0.0,0.0,135495.0,0.0,0,,,,,,,,
rocky,dry_flood,2003,273,current table,current_table,135495.0,0.0,0.0,0.0,2003-01-01,0.0,0.0,0.0,135495.0,0.0,0,,,,,,,,
rocky,dry_flood,2004,92,current table,current_table,135495.0,0.0,0.0,0.0,2004-10-01,0.0,0.0,0.0,135495.0,0.0,0,,,,,,,,
rocky,dry_flood,2005,365,current table,current_table,135495.0,0.0,0.0,0.0,2005-01-01,0.0,0.0,0.0,135495.0,0.0,0,,,,,,,,
rocky,dry_flood,2006,365,current table,current_table,135495.0,1378.0,35.0,0.0,2006-08-23,1.0,0.0,0.0,135495.0,1.0,18,,,,,,,,
rocky,dry_flood,2007,365,current table,current_table,135495.0,0.0,0.0,0.0,2007-01-01,0.0,0.0,0.0,135495.0,0.0,0,,,,,,,,
rocky,dry_flood,2008,366,current table,current_table,135495.0,420.0,2.0,0.0,2008-07-29,0.3,0.0,0.0,135495.0,0.3,2,,,,,,,,
rocky,dry_flood,2009,365,current table,current_table,135495.0,0.0,0.0,0.0,2009-01-01,0.0,0.0,0.0,135495.0,0.0,0,,,,,,,,
rocky,dry_flood,2010,365,current table,current_table,135495.0,0.0,0.0,0.0,2010-01-01,0.0,0.0,0.0,135495.0,0.0,0,,,,,,,,
rocky,dry_flood,2011,365,current table,current_table,135495.0,0.0,0.0,0.0,2011-01-01,0.0,0.0,0.0,135495.0,0.0,0,,,,,,,,
rocky,dry_flood,2012,366,current table,current_table,135495.0,0.0,0.0,0.0,2012-01-01,0.0,0.0,0.0,135495.0,0.0,0,,,,,,,,
rocky,dry_flood,2013,365,current table,current_table,135495.0,5353.0,47.0,0.0,2013-09-12,4.0,0.0,0.0,135495.0,4.0,7,,,,,,,,
rocky,dry_flood,2014,365,current table,current_table,135495.0,2100.0,22.0,0.0,2014-09-21,1.5,0.0,0.0,135495.0,1.5,6,,,,,,,,
rocky,dry_flood,2015,365,current table,current_table,135495.0,0.0,0.0,0.0,2015-01-01,0.0,0.0,0.0,135495.0,0.0,0,,,,,,,,
rocky,dry_flood,2016,366,current table,current_table,135495.0,0.0,0.0,0.0,2016-01-01,0.0,0.0,0.0,135495.0,0.0,0,,,,,,,,
rocky,dry_flood,2017,59,current table,current_table,135495.0,0.0,0.0,0.0,2017-01-01,0.0,0.0,0.0,135495.0,0.0,0,,,,,,,,
rocky,dry_flood,2018,364,current table,current_table,135495.0,0.0,0.0,0.0,2018-01-02,0.0,0.0,0.0,135495.0,0.0,0,0.0,0.0,2018-01-02,364.0,,,,
rocky,dry_flood,2019,365,current table,current_table,135495.0,0.0,0.0,0.0,2019-01-01,0.0,0.0,0.0,135495.0,0.0,0,0.0,0.0,2019-01-01,365.0,,,,
rocky,dry_flood,2020,365,current table,current_table,135495.0,0.0,0.0,0.0,2020-01-01,0.0,0.0,0.0,135495.0,0.0,0,0.0,0.0,2020-01-01,365.0,,,,
rocky,dry_flood,2021,365,current table,current_table,135495.0,6246.0,96.0,0.0,2021-06-01,4.6,0.1,0.0,135495.0,4.6,14,10426.0,3189.0,2021-05-31,365.0,,,,
rocky,dry_flood,2022,365,current table,current_table,135495.0,3638.0,45.0,0.0,2022-08-22,2.7,0.0,0.0,135495.0,2.7,11,4727.0,1105.0,2022-08-22,365.0,,,,
rocky,dry_flood,2023,365,current table,current_table,135495.0,0.0,0.0,0.0,2023-01-01,0.0,0.0,0.0,135495.0,0.0,0,0.0,0.0,2023-01-01,365.0,,,,
rocky,dry_flood,2024,366,current table,current_table,135495.0,2791.0,35.0,0.0,2024-10-21,2.1,0.0,0.0,135495.0,2.1,11,3972.0,1399.0,2024-10-20,366.0,,1.0,2024-11-02,62.0
rocky,dry_flood,2025,365,current table,current_table,135495.0,0.0,0.0,0.0,2025-01-01,0.0,0.0,0.0,135495.0,0.0,0,0.0,0.0,2025-01-01,365.0,119.0,41.0,2025-07-03,365.0
rocky,dry_flood,2026,267,current table,current_table,135495.0,0.0,0.0,0.0,2026-01-01,0.0,0.0,0.0,135495.0,0.0,0,,0.0,2026-01-01,267.0,,0.0,2026-07-18,267.0
