reservoir,role,year,n_days,capacity_table,capacity_confidence,full_pool_af,peak_af,mean_af,low_af,peak_date,peak_pct,mean_pct,low_pct
ute,storage,1965,81,dam registry normal storage,owner_reported,222500.0,104700.0,91298.0,86550.0,1965-10-01,47.1,41.0,38.9
ute,storage,1966,248,dam registry normal storage,owner_reported,222500.0,111300.0,98437.0,82360.0,1966-08-29,50.0,44.2,37.0
ute,storage,1967,361,dam registry normal storage,owner_reported,222500.0,115100.0,103396.0,95720.0,1967-07-13,51.7,46.5,43.0
ute,storage,1968,366,dam registry normal storage,owner_reported,222500.0,99950.0,95294.0,90880.0,1968-09-01,44.9,42.8,40.8
ute,storage,1969,359,dam registry normal storage,owner_reported,222500.0,118100.0,101093.0,92350.0,1969-06-18,53.1,45.4,41.5
ute,storage,1970,361,dam registry normal storage,owner_reported,222500.0,103300.0,99016.0,94210.0,1970-07-27,46.4,44.5,42.3
ute,storage,1971,363,dam registry normal storage,owner_reported,222500.0,103700.0,95554.0,91610.0,1971-08-11,46.6,42.9,41.2
ute,storage,1972,364,dam registry normal storage,owner_reported,222500.0,112900.0,97003.0,89420.0,1972-09-09,50.7,43.6,40.2
ute,storage,1973,365,dam registry normal storage,owner_reported,222500.0,102300.0,98755.0,93840.0,1973-07-31,46.0,44.4,42.2
ute,storage,1974,365,dam registry normal storage,owner_reported,222500.0,94970.0,90018.0,84640.0,1974-01-14,42.7,40.5,38.0
ute,storage,1975,365,dam registry normal storage,owner_reported,222500.0,94100.0,89522.0,84990.0,1975-08-18,42.3,40.2,38.2
ute,storage,1976,366,dam registry normal storage,owner_reported,222500.0,91350.0,87329.0,83460.0,1976-09-30,41.1,39.2,37.5
ute,storage,1977,365,dam registry normal storage,owner_reported,222500.0,88840.0,76952.0,68810.0,1977-08-24,39.9,34.6,30.9
ute,storage,1978,365,dam registry normal storage,owner_reported,222500.0,78400.0,75008.0,71470.0,1978-07-01,35.2,33.7,32.1
ute,storage,1979,365,dam registry normal storage,owner_reported,222500.0,92610.0,81807.0,74840.0,1979-08-27,41.6,36.8,33.6
ute,storage,1980,366,dam registry normal storage,owner_reported,222500.0,82420.0,73757.0,68190.0,1980-01-01,37.0,33.1,30.6
ute,storage,1981,365,dam registry normal storage,owner_reported,222500.0,96260.0,76124.0,66590.0,1981-08-12,43.3,34.2,29.9
ute,storage,1982,365,dam registry normal storage,owner_reported,222500.0,94880.0,75964.0,41150.0,1982-07-30,42.6,34.1,18.5
ute,storage,1983,365,dam registry normal storage,owner_reported,222500.0,42420.0,37009.0,33530.0,1983-01-16,19.1,16.6,15.1
ute,storage,1984,366,dam registry normal storage,owner_reported,222500.0,48200.0,35859.0,31320.0,1984-12-19,21.7,16.1,14.1
ute,storage,1985,365,dam registry normal storage,owner_reported,222500.0,76000.0,53874.0,43600.0,1985-11-04,34.2,24.2,19.6
ute,storage,1986,365,dam registry normal storage,owner_reported,222500.0,109900.0,87127.0,74800.0,1986-12-29,49.4,39.2,33.6
ute,storage,1987,365,dam registry normal storage,owner_reported,222500.0,249800.0,200045.0,109800.0,1987-05-20,112.3,89.9,49.3
ute,storage,1988,366,dam registry normal storage,owner_reported,222500.0,239500.0,228470.0,220700.0,1988-09-22,107.6,102.7,99.2
ute,storage,1989,365,dam registry normal storage,owner_reported,222500.0,241200.0,226538.0,216700.0,1989-09-15,108.4,101.8,97.4
ute,storage,1990,365,dam registry normal storage,owner_reported,222500.0,229900.0,222263.0,210900.0,1990-08-24,103.3,99.9,94.8
ute,storage,1991,365,dam registry normal storage,owner_reported,222500.0,247800.0,227018.0,219600.0,1991-09-11,111.4,102.0,98.7
ute,storage,1992,366,dam registry normal storage,owner_reported,222500.0,234500.0,226456.0,220700.0,1992-08-27,105.4,101.8,99.2
ute,storage,1993,365,dam registry normal storage,owner_reported,222500.0,231600.0,216591.0,197900.0,1993-07-19,104.1,97.3,88.9
ute,storage,1994,365,dam registry normal storage,owner_reported,222500.0,245900.0,196529.0,176100.0,1994-06-12,110.5,88.3,79.1
ute,storage,1995,365,dam registry normal storage,owner_reported,222500.0,215100.0,183894.0,172100.0,1995-07-27,96.7,82.6,77.3
ute,storage,1996,366,dam registry normal storage,owner_reported,222500.0,194200.0,179581.0,170400.0,1996-07-31,87.3,80.7,76.6
ute,storage,1997,365,dam registry normal storage,owner_reported,222500.0,215000.0,185799.0,176700.0,1997-06-18,96.6,83.5,79.4
ute,storage,1998,365,dam registry normal storage,owner_reported,222500.0,183800.0,178185.0,171600.0,1998-03-29,82.6,80.1,77.1
ute,storage,1999,365,dam registry normal storage,owner_reported,222500.0,247600.0,219439.0,172700.0,1999-08-08,111.3,98.6,77.6
ute,storage,2000,274,dam registry normal storage,owner_reported,222500.0,237400.0,202813.0,179200.0,2000-01-01,106.7,91.2,80.5
ute,storage,2001,92,dam registry normal storage,owner_reported,222500.0,188000.0,183609.0,181000.0,2001-10-01,84.5,82.5,81.3
